ax,ay,az,gx,gy,gz
-0.47,0.1,0.9,0.09,-0.14,-3.08
-0.47,0.09,0.9,-0.05,-0.28,-2.92
-0.47,0.09,0.9,-0.05,-0.28,-2.92
-0.46,0.09,0.9,-0.02,-0.51,-2.68
-0.46,0.08,0.9,0.15,-0.79,-2.34
-0.45,0.08,0.9,0.44,-1.1,-1.96
-0.44,0.08,0.9,0.79,-1.28,-1.57
-0.43,0.08,0.89,1.1,-1.19,-1.22
-0.43,0.08,0.89,1.1,-1.19,-1.22
-0.44,0.08,0.89,1.41,-0.83,-0.93
-0.46,0.09,0.89,1.69,-0.22,-0.74
-0.46,0.09,0.88,1.92,0.53,-0.67
-0.47,0.1,0.88,2.12,1.25,-0.64
-0.48,0.12,0.89,2.31,1.72,-0.63
-0.48,0.12,0.89,2.31,1.72,-0.63
-0.49,0.13,0.88,2.42,2.0,-0.57
-0.49,0.15,0.88,2.37,1.93,-0.46
-0.48,0.16,0.88,2.17,1.58,-0.4
-0.47,0.17,0.87,1.86,1.06,-0.32
-0.45,0.18,0.87,1.46,0.47,-0.22
-0.45,0.18,0.87,1.46,0.47,-0.22
-0.43,0.2,0.86,0.95,-0.09,-0.12
-0.41,0.21,0.85,0.36,-0.43,-0.01
-0.39,0.23,0.85,-0.23,-0.57,0.08
-0.38,0.26,0.84,-0.79,-0.58,0.22
-0.37,0.3,0.85,-1.28,-0.47,0.5
-0.37,0.3,0.85,-1.28,-0.47,0.5
-0.36,0.33,0.85,-1.86,-0.24,0.93
-0.35,0.36,0.85,-2.52,0.13,1.49
-0.35,0.39,0.85,-3.23,0.54,2.19
-0.35,0.42,0.84,-4.01,1.04,2.93
-0.35,0.45,0.84,-4.84,1.57,3.67
-0.35,0.45,0.84,-4.84,1.57,3.67
-0.34,0.49,0.84,-5.66,2.13,4.49
-0.33,0.53,0.84,-6.55,2.85,5.51
-0.32,0.57,0.85,-7.6,3.55,6.86
-0.32,0.61,0.86,-8.95,4.33,8.37
-0.33,0.62,0.88,-10.78,5.38,10.15
-0.33,0.62,0.88,-10.78,5.38,10.15
-0.34,0.63,0.89,-13.07,6.85,12.24
-0.37,0.62,0.91,-15.6,8.73,14.61
-0.42,0.6,0.91,-18.13,10.78,17.27
-0.45,0.58,0.93,-20.38,12.68,20.25
-0.48,0.57,0.93,-22.26,14.27,23.45
-0.48,0.57,0.93,-22.26,14.27,23.45
-0.5,0.56,0.95,-23.7,15.44,26.87
-0.5,0.54,0.96,-24.73,16.12,30.45
-0.5,0.53,0.97,-25.28,16.21,34.23
-0.48,0.53,0.98,-25.35,15.64,38.17
-0.45,0.53,1.0,-25.08,14.52,42.17
-0.45,0.53,1.0,-25.08,14.52,42.17
-0.43,0.53,1.01,-24.75,13.13,46.12
-0.42,0.52,1.03,-24.58,11.74,49.83
-0.41,0.49,1.05,-24.79,10.52,53.24
-0.41,0.45,1.05,-25.36,9.38,56.37
-0.41,0.4,1.06,-26.12,8.04,59.28
-0.41,0.4,1.06,-26.12,8.04,59.28
-0.4,0.35,1.06,-26.98,6.47,61.97
-0.39,0.31,1.06,-27.91,4.79,64.34
-0.37,0.27,1.07,-28.8,3.18,66.4
-0.36,0.23,1.08,-29.59,1.68,68.08
-0.34,0.2,1.08,-30.3,0.3,69.3
-0.34,0.2,1.08,-30.3,0.3,69.3
-0.32,0.17,1.07,-30.92,-0.6,70.25
-0.32,0.14,1.09,-31.43,-1.29,71.09
-0.31,0.1,1.09,-31.83,-1.86,71.75
-0.31,0.07,1.09,-32.09,-2.43,72.49
-0.32,0.04,1.08,-32.13,-3.14,73.36
-0.32,0.04,1.08,-32.13,-3.14,73.36
-0.34,0.0,1.08,-31.93,-4.0,74.2
-0.36,-0.02,1.08,-31.49,-5.02,74.89
-0.37,-0.04,1.08,-30.76,-6.24,75.26
-0.36,-0.05,1.09,-29.81,-7.69,75.18
-0.34,-0.05,1.1,-28.88,-9.19,74.57
-0.34,-0.05,1.1,-28.88,-9.19,74.57
-0.33,-0.06,1.11,-28.33,-10.48,73.44
-0.32,-0.08,1.12,-28.3,-11.46,71.74
-0.32,-0.1,1.12,-28.67,-11.95,69.39
-0.33,-0.13,1.13,-29.33,-11.81,66.56
-0.37,-0.16,1.15,-30.14,-11.13,63.18
-0.37,-0.16,1.15,-30.14,-11.13,63.18
-0.41,-0.18,1.14,-31.04,-10.05,59.29
-0.45,-0.2,1.13,-31.78,-9.01,55.01
-0.47,-0.22,1.12,-32.16,-8.32,50.59
-0.47,-0.24,1.12,-32.13,-8.29,46.23
-0.46,-0.24,1.11,-31.6,-8.96,42.07
-0.46,-0.24,1.11,-31.6,-8.96,42.07
-0.45,-0.24,1.1,-30.58,-10.36,38.21
-0.44,-0.23,1.09,-29.14,-12.3,34.67
-0.42,-0.23,1.08,-27.36,-14.61,31.45
-0.4,-0.22,1.08,-25.34,-17.13,28.34
-0.38,-0.2,1.08,-23.21,-19.41,25.2
-0.38,-0.2,1.08,-23.21,-19.41,25.2
-0.36,-0.16,1.08,-21.28,-21.13,21.92
-0.35,-0.13,1.1,-20.02,-21.95,18.23
-0.33,-0.12,1.11,-19.93,-21.54,14.09
-0.33,-0.13,1.13,-21.12,-19.83,9.77
-0.33,-0.17,1.14,-23.51,-16.92,5.46
-0.33,-0.17,1.14,-23.51,-16.92,5.46
-0.35,-0.22,1.15,-26.79,-13.22,1.26
-0.37,-0.29,1.16,-30.37,-9.25,-2.73
-0.39,-0.38,1.16,-33.61,-5.71,-6.39
-0.41,-0.47,1.15,-35.99,-2.97,-9.69
-0.45,-0.54,1.13,-37.09,-1.41,-12.65
-0.45,-0.54,1.13,-37.09,-1.41,-12.65
-0.51,-0.6,1.11,-36.38,-1.46,-15.49
-0.56,-0.63,1.07,-33.64,-3.42,-18.44
-0.6,-0.62,1.06,-28.98,-7.46,-21.5
-0.62,-0.59,1.07,-22.91,-13.39,-24.68
-0.61,-0.55,1.1,-16.37,-20.44,-28.09
-0.61,-0.55,1.1,-16.37,-20.44,-28.09
-0.58,-0.51,1.11,-10.37,-27.47,-31.85
-0.56,-0.5,1.11,-5.46,-33.42,-35.88
-0.55,-0.52,1.08,-1.74,-37.74,-40.02
-0.54,-0.54,1.04,1.05,-40.32,-44.04
-0.53,-0.56,1.0,3.34,-41.17,-47.84
-0.53,-0.56,1.0,3.34,-41.17,-47.84
-0.53,-0.59,0.95,5.59,-40.25,-51.41
-0.56,-0.6,0.89,8.08,-37.82,-54.88
-0.61,-0.6,0.82,11.13,-34.46,-58.61
-0.65,-0.6,0.76,15.2,-31.03,-62.7
-0.68,-0.57,0.72,20.44,-28.39,-66.96
-0.68,-0.57,0.72,20.44,-28.39,-66.96
-0.67,-0.53,0.73,26.5,-27.11,-70.95
-0.66,-0.48,0.76,32.55,-27.07,-74.33
-0.65,-0.45,0.79,37.87,-27.55,-77.03
-0.65,-0.45,0.8,42.07,-27.86,-79.09
-0.67,-0.46,0.78,45.25,-27.81,-80.65
-0.67,-0.46,0.78,45.25,-27.81,-80.65
-0.71,-0.48,0.74,47.84,-27.67,-82.01
-0.73,-0.48,0.72,50.42,-27.8,-83.35
-0.73,-0.47,0.72,53.19,-28.41,-84.67
-0.72,-0.44,0.73,56.01,-29.49,-85.99
-0.7,-0.39,0.75,58.38,-30.8,-87.36
-0.7,-0.39,0.75,58.38,-30.8,-87.36
-0.68,-0.36,0.76,59.87,-31.83,-88.93
-0.66,-0.34,0.77,60.24,-32.19,-90.58
-0.63,-0.35,0.78,59.46,-31.63,-92.15
-0.6,-0.38,0.8,57.63,-30.01,-93.46
-0.59,-0.42,0.79,55.11,-27.07,-94.36
-0.59,-0.42,0.79,55.11,-27.07,-94.36
-0.61,-0.46,0.78,52.51,-22.78,-94.79
-0.64,-0.5,0.74,50.55,-17.64,-94.87
-0.69,-0.52,0.7,49.77,-12.45,-94.87
-0.74,-0.52,0.66,50.65,-8.05,-94.9
-0.78,-0.49,0.64,53.34,-5.34,-95.09
-0.78,-0.49,0.64,53.34,-5.34,-95.09
-0.8,-0.41,0.65,57.37,-4.9,-95.42
-0.8,-0.31,0.68,61.86,-6.62,-95.86
-0.78,-0.21,0.73,65.73,-9.89,-96.44
-0.74,-0.14,0.78,68.29,-14.1,-97.08
-0.69,-0.12,0.84,68.9,-18.54,-97.67
-0.69,-0.12,0.84,68.9,-18.54,-97.67
-0.65,-0.12,0.88,67.19,-22.32,-98.11
-0.63,-0.15,0.88,63.29,-24.57,-98.37
-0.62,-0.21,0.81,58.05,-25.15,-98.77
-0.62,-0.29,0.74,52.74,-24.46,-99.42
-0.62,-0.34,0.68,48.42,-23.08,-100.24
-0.62,-0.34,0.68,48.42,-23.08,-100.24
-0.62,-0.36,0.61,45.72,-21.5,-101.24
-0.63,-0.35,0.56,44.82,-20.13,-102.42
-0.62,-0.3,0.53,45.57,-19.34,-103.85
-0.61,-0.23,0.54,47.37,-19.25,-105.46
-0.59,-0.16,0.57,49.35,-19.67,-107.1
-0.59,-0.16,0.57,49.35,-19.67,-107.1
-0.57,-0.09,0.61,50.69,-20.29,-108.65
-0.55,-0.05,0.68,50.87,-20.85,-109.88
-0.55,-0.03,0.74,49.53,-20.95,-110.7
-0.56,-0.05,0.76,46.47,-20.15,-111.36
-0.57,-0.12,0.73,42.36,-18.64,-112.01
-0.57,-0.12,0.73,42.36,-18.64,-112.01
-0.59,-0.19,0.69,38.33,-17.06,-112.48
-0.61,-0.23,0.64,35.36,-15.94,-112.77
-0.64,-0.24,0.59,34.04,-15.42,-113.18
-0.65,-0.2,0.56,34.57,-15.58,-114.06
-0.63,-0.12,0.56,36.41,-16.53,-115.52
-0.63,-0.12,0.56,36.41,-16.53,-115.52
-0.6,-0.03,0.6,38.48,-18.0,-117.16
-0.57,0.07,0.65,39.67,-19.42,-118.62
-0.56,0.14,0.7,39.09,-20.18,-119.78
-0.54,0.17,0.74,36.46,-19.94,-120.48
-0.53,0.16,0.78,31.78,-18.37,-120.69
-0.53,0.16,0.78,31.78,-18.37,-120.69
-0.55,0.1,0.77,25.56,-15.26,-120.35
-0.59,0.03,0.72,18.92,-11.07,-119.33
-0.65,-0.04,0.65,13.33,-6.8,-117.63
-0.67,-0.09,0.58,10.11,-3.48,-115.37
-0.68,-0.09,0.55,9.93,-1.89,-112.58
-0.68,-0.09,0.55,9.93,-1.89,-112.58
-0.67,-0.04,0.58,12.52,-2.26,-109.44
-0.63,0.04,0.62,16.64,-4.03,-106.12
-0.61,0.12,0.65,20.81,-6.42,-102.78
-0.6,0.19,0.68,23.8,-9.03,-99.7
-0.59,0.23,0.71,24.9,-11.62,-96.95
-0.59,0.23,0.71,24.9,-11.62,-96.95
-0.57,0.25,0.76,23.87,-14.0,-94.45
-0.55,0.25,0.8,20.66,-15.68,-92.39
-0.54,0.2,0.81,15.35,-16.09,-90.87
-0.54,0.13,0.8,8.71,-15.12,-89.82
-0.56,0.05,0.78,1.91,-13.07,-89.14
-0.56,0.05,0.78,1.91,-13.07,-89.14
-0.59,-0.01,0.75,-3.94,-10.36,-88.68
-0.62,-0.04,0.72,-8.06,-7.52,-88.26
-0.66,-0.04,0.71,-10.11,-5.08,-87.69
-0.68,-0.0,0.7,-10.25,-3.55,-86.91
-0.69,0.06,0.71,-8.87,-3.05,-85.89
-0.69,0.06,0.71,-8.87,-3.05,-85.89
-0.7,0.13,0.72,-6.63,-3.35,-84.69
-0.69,0.18,0.74,-4.3,-4.43,-83.31
-0.65,0.22,0.76,-2.46,-6.3,-81.43
-0.59,0.23,0.82,-1.34,-8.76,-78.57
-0.55,0.2,0.87,-1.04,-11.2,-74.63
-0.55,0.2,0.87,-1.04,-11.2,-74.63
-0.55,0.14,0.88,-1.53,-12.69,-69.99
-0.61,0.06,0.83,-2.1,-13.06,-65.42
-0.69,0.02,0.76,-1.56,-13.28,-61.67
-0.75,0.03,0.69,1.17,-14.52,-59.08
-0.77,0.13,0.68,5.99,-17.19,-57.82
-0.77,0.13,0.68,5.99,-17.19,-57.82
-0.76,0.28,0.71,11.47,-20.96,-57.86
-0.72,0.43,0.74,15.79,-25.03,-58.76
-0.67,0.56,0.77,17.62,-28.87,-60.12
-0.59,0.65,0.79,16.31,-32.12,-61.29
-0.51,0.67,0.8,11.68,-34.15,-61.85
-0.51,0.67,0.8,11.68,-34.15,-61.85
-0.43,0.63,0.8,4.06,-34.24,-61.75
-0.39,0.52,0.75,-5.55,-32.18,-60.77
-0.4,0.4,0.7,-15.35,-28.78,-58.76
-0.41,0.3,0.66,-23.41,-25.11,-56.09
-0.41,0.23,0.66,-28.32,-21.92,-53.1
-0.41,0.23,0.66,-28.32,-21.92,-53.1
-0.4,0.21,0.69,-29.86,-19.46,-49.9
-0.38,0.23,0.74,-28.91,-17.39,-46.65
-0.38,0.27,0.8,-26.65,-15.2,-43.49
-0.41,0.31,0.84,-24.21,-12.52,-40.48
-0.46,0.35,0.85,-22.51,-9.31,-37.75
-0.46,0.35,0.85,-22.51,-9.31,-37.75
-0.5,0.36,0.86,-21.82,-6.35,-35.41
-0.52,0.35,0.88,-22.09,-3.84,-33.66
-0.52,0.34,0.89,-23.22,-1.61,-32.29
-0.51,0.32,0.91,-25.05,0.35,-31.15
-0.5,0.3,0.93,-27.43,2.22,-30.34
-0.5,0.3,0.93,-27.43,2.22,-30.34
-0.5,0.28,0.96,-30.04,4.14,-29.76
-0.5,0.26,0.99,-32.42,6.37,-29.09
-0.52,0.26,0.99,-34.21,8.46,-28.03
-0.54,0.27,0.96,-35.26,9.84,-26.64
-0.54,0.27,0.96,-35.32,9.92,-24.89
-0.55,0.3,0.94,-35.32,9.92,-24.89
-0.53,0.34,0.94,-34.42,8.33,-22.79
-0.5,0.37,0.92,-33.02,5.48,-20.31
-0.47,0.41,0.89,-31.65,1.96,-17.53
-0.45,0.43,0.86,-30.84,-1.8,-14.51
-0.45,0.43,0.86,-30.88,-5.43,-11.36
-0.41,0.43,0.83,-30.88,-5.43,-11.36
-0.37,0.41,0.83,-31.73,-8.53,-8.04
-0.33,0.36,0.86,-33.23,-10.46,-4.51
-0.32,0.28,0.88,-35.06,-10.65,-0.69
-0.35,0.22,0.88,-36.66,-8.93,3.39
-0.35,0.22,0.88,-36.66,-8.93,3.39
-0.39,0.17,0.86,-37.34,-5.93,7.39
-0.43,0.15,0.84,-36.48,-2.51,11.14
-0.43,0.16,0.83,-33.77,0.42,14.57
-0.4,0.2,0.85,-29.31,2.34,17.53
-0.35,0.27,0.87,-23.8,3.38,20.22
-0.35,0.27,0.87,-23.8,3.38,20.22
-0.3,0.34,0.87,-18.27,3.54,22.89
-0.25,0.4,0.87,-13.64,2.91,25.46
-0.2,0.44,0.85,-10.46,1.83,28.02
-0.17,0.45,0.85,-8.99,0.61,30.68
-0.15,0.41,0.89,-9.38,0.03,33.33
-0.15,0.41,0.89,-9.38,0.03,33.33
-0.17,0.34,0.94,-11.4,1.25,36.05
-0.27,0.28,0.96,-14.59,4.61,38.79
-0.38,0.23,0.94,-18.08,8.81,41.02
-0.48,0.2,0.93,-20.75,12.65,42.33
-0.54,0.19,0.95,-22.01,15.41,42.81
-0.54,0.19,0.95,-22.01,15.41,42.81
-0.54,0.2,0.97,-21.92,16.38,42.56
-0.49,0.23,1.01,-20.79,15.38,41.79
-0.4,0.26,1.04,-19.33,13.1,41.09
-0.33,0.29,1.04,-18.36,10.03,41.07
-0.26,0.29,1.03,-18.19,6.46,41.85
-0.26,0.29,1.03,-18.19,6.46,41.85
-0.21,0.26,0.98,-18.78,2.85,43.33
-0.16,0.23,0.92,-19.71,-0.46,45.36
-0.13,0.22,0.86,-20.56,-3.38,47.64
-0.12,0.23,0.81,-20.95,-5.83,49.82
-0.1,0.27,0.79,-20.91,-7.74,51.69
-0.1,0.27,0.79,-20.91,-7.74,51.69
-0.06,0.29,0.82,-20.8,-8.76,53.29
-0.03,0.29,0.88,-21.19,-8.28,54.97
-0.01,0.26,0.93,-22.64,-5.7,57.04
-0.01,0.18,0.94,-25.08,-0.97,59.58
-0.04,0.09,0.95,-27.69,5.42,62.57
-0.04,0.09,0.95,-27.69,5.42,62.57
-0.08,-0.0,0.94,-29.55,12.7,65.92
-0.12,-0.08,0.93,-29.88,19.79,69.52
-0.15,-0.12,0.91,-28.23,25.9,73.19
-0.17,-0.13,0.91,-24.5,30.65,76.84
-0.21,-0.11,0.93,-19.26,33.82,80.08
-0.21,-0.11,0.93,-19.26,33.82,80.08
-0.26,-0.04,0.93,-13.4,35.91,82.6
-0.32,0.04,0.93,-7.89,36.91,84.19
-0.34,0.12,0.94,-3.38,36.75,84.54
-0.37,0.21,0.99,-0.49,35.65,83.75
-0.39,0.29,1.02,0.24,33.92,82.23
-0.39,0.29,1.02,0.24,33.92,82.23
-0.39,0.33,1.05,-1.65,31.6,80.24
-0.36,0.32,1.05,-6.09,29.09,78.09
-0.34,0.28,1.04,-12.56,26.77,76.25
-0.33,0.2,1.03,-20.18,24.81,74.96
-0.31,0.11,0.99,-27.88,23.2,74.34
-0.31,0.11,0.99,-27.88,23.2,74.34
-0.29,0.03,0.96,-34.64,21.93,74.39
-0.27,-0.05,0.92,-39.8,21.06,75.14
-0.27,-0.1,0.9,-42.95,20.57,76.64
-0.27,-0.12,0.88,-44.02,20.43,78.8
-0.25,-0.15,0.89,-43.1,20.51,81.59
-0.25,-0.15,0.89,-43.1,20.51,81.59
-0.21,-0.18,0.95,-40.52,21.17,84.97
-0.22,-0.2,1.01,-36.85,23.42,89.03
-0.28,-0.21,1.03,-32.65,27.52,93.52
-0.36,-0.22,1.03,-27.97,32.54,97.78
-0.44,-0.21,1.01,-22.61,37.55,101.66
-0.44,-0.21,1.01,-22.61,37.55,101.66
-0.53,-0.17,1.02,-16.65,42.03,104.99
-0.61,-0.1,1.05,-10.56,45.48,107.46
-0.65,-0.03,1.07,-5.13,47.62,108.75
-0.67,0.04,1.09,-1.06,48.4,108.79
-0.68,0.08,1.1,1.11,47.8,107.72
-0.68,0.08,1.1,1.11,47.8,107.72
-0.67,0.1,1.12,1.21,45.93,105.82
-0.65,0.08,1.12,-0.59,42.98,103.57
-0.61,0.04,1.1,-3.87,39.23,101.22
-0.58,-0.02,1.07,-7.87,35.01,98.78
-0.57,-0.07,1.05,-11.8,30.7,96.2
-0.57,-0.07,1.05,-11.8,30.7,96.2
-0.55,-0.13,1.04,-15.09,26.64,93.66
-0.51,-0.17,1.03,-17.25,23.01,91.34
-0.48,-0.2,1.02,-18.14,20.0,89.36
-0.46,-0.21,1.02,-17.71,17.72,87.82
-0.45,-0.21,1.01,-16.07,16.05,86.78
-0.45,-0.21,1.01,-16.07,16.05,86.78
-0.47,-0.21,1.0,-13.56,14.84,86.17
