ax,ay,az,gx,gy,gz
0.01,0.05,1.02,-0.38,-0.28,0.15
0.02,0.04,1.02,-0.69,-0.3,0.05
0.02,0.04,1.01,-0.92,-0.38,-0.0
0.03,0.04,1.01,-1.02,-0.48,0.08
0.03,0.04,1.01,-1.0,-0.54,0.2
0.03,0.04,1.01,-0.84,-0.54,0.3
0.03,0.04,1.01,-0.84,-0.54,0.3
0.03,0.04,1.01,-0.6,-0.48,0.36
0.03,0.04,1.01,-0.27,-0.38,0.4
0.03,0.05,1.01,0.03,-0.21,0.44
0.03,0.05,1.01,0.25,0.04,0.5
0.03,0.05,1.02,0.32,0.33,0.54
0.03,0.05,1.02,0.32,0.33,0.54
0.03,0.05,1.02,0.25,0.67,0.56
0.02,0.05,1.02,0.09,1.04,0.53
0.02,0.05,1.02,-0.19,1.39,0.52
0.02,0.05,1.02,-0.5,1.65,0.5
0.01,0.05,1.02,-0.78,1.75,0.56
0.01,0.05,1.02,-0.78,1.75,0.56
0.01,0.05,1.02,-1.0,1.64,0.62
0.01,0.05,1.02,-1.23,1.27,0.65
0.01,0.05,1.02,-1.46,0.76,0.66
0.02,0.06,1.03,-1.76,0.15,0.66
0.03,0.06,1.02,-2.12,-0.41,0.66
0.03,0.06,1.02,-2.12,-0.41,0.66
0.04,0.05,1.02,-2.54,-0.86,0.71
0.05,0.04,1.02,-2.96,-1.05,0.78
0.05,0.03,1.01,-3.29,-0.99,0.85
0.05,0.02,1.01,-3.45,-0.66,0.94
0.05,0.01,1.01,-3.44,-0.09,1.01
0.05,0.01,1.01,-3.44,-0.09,1.01
0.05,0.01,1.01,-3.22,0.65,1.08
0.04,0.01,1.01,-2.78,1.42,1.17
0.03,0.01,1.01,-2.15,2.19,1.27
0.02,0.02,1.02,-1.37,2.78,1.37
0.01,0.03,1.02,-0.6,3.07,1.45
0.01,0.03,1.02,-0.6,3.07,1.45
0.01,0.05,1.03,0.02,3.07,1.47
0.01,0.06,1.04,0.38,2.83,1.49
0.0,0.07,1.04,0.4,2.36,1.47
0.01,0.07,1.04,0.07,1.78,1.37
0.01,0.06,1.04,-0.53,1.17,1.21
0.01,0.06,1.04,-0.53,1.17,1.21
0.02,0.05,1.03,-1.32,0.57,1.05
0.03,0.04,1.03,-2.14,0.04,0.87
0.03,0.03,1.02,-2.86,-0.35,0.69
0.04,0.02,1.02,-3.41,-0.52,0.47
0.04,0.01,1.01,-3.7,-0.48,0.28
0.04,0.01,1.01,-3.7,-0.48,0.28
0.04,0.0,1.01,-3.74,-0.31,0.07
0.04,0.01,1.01,-3.51,-0.06,-0.12
0.04,0.01,1.01,-3.11,0.27,-0.3
0.03,0.02,1.01,-2.64,0.56,-0.46
0.03,0.03,1.01,-2.18,0.75,-0.59
0.03,0.03,1.01,-2.18,0.75,-0.59
0.03,0.04,1.01,-1.84,0.85,-0.7
0.03,0.04,1.02,-1.65,0.87,-0.82
0.03,0.04,1.02,-1.58,0.82,-0.92
0.02,0.04,1.02,-1.64,0.75,-0.97
0.02,0.04,1.01,-1.71,0.64,-1.0
0.02,0.04,1.01,-1.71,0.64,-1.0
0.02,0.04,1.01,-1.78,0.52,-1.04
0.01,0.04,1.02,-1.82,0.36,-1.11
0.02,0.05,1.02,-1.85,0.21,-1.2
0.02,0.05,1.02,-1.93,0.1,-1.3
0.02,0.05,1.02,-2.08,0.04,-1.37
0.02,0.05,1.02,-2.08,0.04,-1.37
0.02,0.05,1.01,-2.25,0.04,-1.41
0.02,0.04,1.01,-2.35,0.07,-1.36
0.02,0.04,1.01,-2.41,0.09,-1.27
0.02,0.04,1.0,-2.33,0.04,-1.18
0.02,0.04,1.0,-2.14,0.01,-1.05
0.03,0.04,1.0,-2.14,0.01,-1.05
0.03,0.05,1.01,-1.87,0.05,-0.9
0.02,0.05,1.01,-1.63,0.17,-0.8
0.02,0.06,1.02,-1.48,0.33,-0.72
0.02,0.06,1.02,-1.42,0.46,-0.65
0.02,0.06,1.02,-1.42,0.46,-0.65
0.02,0.06,1.02,-1.5,0.52,-0.6
0.02,0.06,1.01,-1.7,0.59,-0.55
0.02,0.05,1.01,-1.98,0.62,-0.52
0.02,0.05,1.01,-2.22,0.52,-0.5
0.02,0.05,1.01,-2.4,0.36,-0.46
0.02,0.05,1.01,-2.4,0.36,-0.46
0.03,0.04,1.01,-2.53,0.2,-0.39
0.03,0.04,1.01,-2.63,0.13,-0.3
0.03,0.04,1.01,-2.68,0.14,-0.21
0.02,0.04,1.01,-2.66,0.18,-0.15
0.02,0.04,1.01,-2.58,0.19,-0.08
0.02,0.04,1.01,-2.58,0.19,-0.08
0.02,0.04,1.0,-2.47,0.08,0.03
0.02,0.04,1.0,-2.35,-0.06,0.16
0.03,0.03,1.0,-2.16,-0.2,0.31
0.03,0.03,1.0,-1.93,-0.26,0.41
0.03,0.02,1.0,-1.59,-0.25,0.46
0.03,0.02,1.0,-1.59,-0.25,0.46
0.03,0.03,1.0,-1.17,-0.08,0.47
0.03,0.04,1.0,-0.78,0.2,0.46
0.02,0.04,1.01,-0.45,0.52,0.4
0.02,0.05,1.01,-0.25,0.81,0.31
0.01,0.05,1.01,-0.26,1.0,0.2
0.01,0.05,1.01,-0.26,1.0,0.2
0.02,0.05,1.01,-0.45,1.09,0.13
0.02,0.04,1.0,-0.82,1.11,0.1
0.02,0.03,1.0,-1.25,1.1,0.14
0.03,0.02,1.0,-1.64,1.13,0.22
0.03,0.01,1.0,-1.9,1.2,0.37
0.03,0.01,1.0,-1.9,1.2,0.37
0.02,0.0,1.0,-1.98,1.34,0.51
0.02,-0.01,0.99,-1.84,1.55,0.64
0.01,-0.01,1.0,-1.48,1.77,0.76
0.01,-0.01,1.0,-0.98,2.01,0.85
0.01,-0.01,1.0,-0.48,2.27,0.91
0.01,-0.01,1.0,-0.48,2.27,0.91
0.01,-0.01,1.01,-0.07,2.63,0.9
0.0,-0.02,1.01,0.15,3.08,0.8
-0.0,-0.03,1.01,0.2,3.54,0.61
-0.01,-0.04,1.0,0.13,3.93,0.35
-0.01,-0.04,1.0,-0.02,4.19,-0.02
-0.01,-0.04,1.0,-0.02,4.19,-0.02
-0.01,-0.04,1.0,-0.29,4.21,-0.48
-0.0,-0.05,1.0,-0.68,4.02,-1.08
0.0,-0.05,0.99,-1.13,3.91,-1.72
