ax,ay,az,gx,gy,gz
0.1,0.2,0.99,1.48,1.25,2.17
0.1,0.2,1.0,1.67,1.25,2.28
0.11,0.2,1.01,1.67,1.42,2.37
0.1,0.2,1.0,1.46,1.73,2.5
0.11,0.2,1.01,1.32,2.17,2.5
0.11,0.19,1.01,1.13,2.69,2.42
0.11,0.19,1.01,1.13,2.69,2.42
0.1,0.19,0.99,0.89,3.23,2.38
0.1,0.18,0.99,0.79,3.75,2.32
0.1,0.17,0.99,0.81,4.22,2.28
0.1,0.17,0.99,1.01,4.56,2.24
0.1,0.16,1.0,1.4,4.85,2.27
0.1,0.16,1.0,1.4,4.85,2.27
0.1,0.17,0.99,1.84,5.0,2.37
0.1,0.17,1.0,2.23,4.98,2.49
0.09,0.17,1.0,2.44,4.83,2.65
0.09,0.18,1.0,2.5,4.52,2.91
0.09,0.17,1.0,2.53,4.1,3.08
0.09,0.17,1.0,2.53,4.1,3.08
0.09,0.16,1.01,2.42,3.6,3.29
0.09,0.16,1.0,2.18,3.11,3.5
0.1,0.16,0.99,2.1,2.69,3.53
0.11,0.16,1.01,2.21,2.45,3.34
0.11,0.15,1.02,2.2,2.41,3.17
0.11,0.15,1.02,2.2,2.41,3.17
0.11,0.15,1.0,2.03,2.58,3.01
0.1,0.16,0.99,2.03,2.88,2.68
0.11,0.16,1.0,2.21,3.3,2.22
0.1,0.16,1.01,2.21,3.78,1.83
0.09,0.16,1.0,2.04,4.14,1.48
0.09,0.16,1.0,2.04,4.14,1.48
0.09,0.16,0.99,1.92,4.38,1.1
0.09,0.17,1.0,1.92,4.46,0.69
0.1,0.16,1.0,1.8,4.43,0.46
0.09,0.16,1.0,1.55,4.36,0.42
0.08,0.15,1.0,1.4,4.25,0.47
0.08,0.15,1.0,1.4,4.25,0.47
0.09,0.15,1.0,1.47,4.07,0.5
0.09,0.15,1.0,1.69,3.85,0.54
0.08,0.15,1.0,1.96,3.59,0.57
0.08,0.15,1.01,2.32,3.37,0.53
0.09,0.16,1.01,2.75,3.17,0.48
0.09,0.16,1.01,2.75,3.17,0.48
0.09,0.16,1.0,3.17,3.04,0.41
0.08,0.17,1.01,3.56,2.92,0.34
0.08,0.18,1.02,3.88,2.79,0.2
0.09,0.18,1.02,4.07,2.72,0.0
0.09,0.19,1.01,4.11,2.68,-0.21
0.09,0.19,1.01,4.11,2.68,-0.21
0.09,0.18,1.01,3.96,2.66,-0.45
0.09,0.18,1.01,3.69,2.69,-0.65
0.09,0.18,1.0,3.37,2.7,-0.82
0.09,0.18,1.0,3.03,2.64,-0.98
0.09,0.18,1.0,2.74,2.47,-1.11
0.09,0.18,1.0,2.74,2.47,-1.11
0.09,0.18,1.0,2.49,2.25,-1.15
0.09,0.18,1.0,2.22,1.99,-1.11
0.09,0.18,1.0,1.97,1.78,-1.01
0.1,0.18,0.99,1.8,1.67,-0.91
0.09,0.18,0.99,1.75,1.62,-0.83
0.09,0.18,0.99,1.75,1.62,-0.83
0.09,0.19,1.0,1.77,1.58,-0.79
0.09,0.19,1.0,1.79,1.53,-0.78
0.09,0.19,1.0,1.75,1.46,-0.78
0.1,0.19,1.0,1.65,1.42,-0.75
0.1,0.19,0.99,1.52,1.48,-0.72
0.1,0.19,0.99,1.52,1.48,-0.72
0.1,0.18,0.99,1.43,1.6,-0.67
0.09,0.17,0.99,1.45,1.85,-0.62
0.09,0.18,0.99,1.55,2.13,-0.63
0.09,0.18,0.99,1.72,2.34,-0.68
0.08,0.18,0.99,1.92,2.41,-0.72
0.08,0.18,0.99,1.92,2.41,-0.72
0.09,0.18,0.99,2.07,2.37,-0.72
0.09,0.18,0.99,2.17,2.3,-0.72
0.09,0.18,0.99,2.24,2.27,-0.66
0.09,0.18,1.0,2.32,2.32,-0.6
0.09,0.19,1.0,2.39,2.47,-0.53
0.09,0.19,1.0,2.39,2.47,-0.53
0.09,0.19,1.0,2.43,2.71,-0.47
0.09,0.19,1.0,2.43,2.95,-0.44
0.09,0.19,1.0,2.4,3.17,-0.45
0.09,0.18,1.0,2.26,3.4,-0.47
0.09,0.18,1.0,2.09,3.58,-0.47
0.09,0.18,1.0,2.09,3.58,-0.47
0.09,0.17,1.0,1.94,3.74,-0.48
0.09,0.17,1.0,1.87,3.95,-0.52
0.08,0.17,0.99,1.92,4.17,-0.56
0.08,0.18,1.0,2.04,4.33,-0.64
0.08,0.18,1.0,2.1,4.32,-0.74
