ax,ay,az,gx,gy,gz
0.02,0.16,0.98,11.17,9.01,5.95
0.02,0.16,0.98,10.98,9.12,5.92
0.03,0.16,0.98,10.82,8.96,5.92
0.03,0.17,0.99,10.64,8.75,5.96
0.03,0.18,1.01,10.37,8.68,5.97
0.02,0.18,1.02,9.93,8.85,5.86
0.02,0.18,1.02,9.93,8.85,5.86
0.0,0.19,1.03,9.24,9.26,5.57
-0.01,0.2,1.04,8.35,9.82,5.14
-0.03,0.21,1.05,7.2,10.46,4.57
-0.04,0.22,1.06,5.74,11.12,3.96
-0.05,0.22,1.06,4.0,11.65,3.44
-0.05,0.22,1.06,4.0,11.65,3.44
-0.05,0.21,1.05,2.03,12.01,3.08
-0.04,0.19,1.05,0.07,12.09,2.98
-0.03,0.17,1.05,-1.7,11.9,3.18
-0.03,0.15,1.03,-3.17,11.51,3.63
-0.03,0.13,1.03,-4.16,10.94,4.25
-0.03,0.13,1.03,-4.16,10.94,4.25
-0.02,0.1,1.01,-4.53,10.2,4.98
-0.01,0.08,1.01,-4.22,9.36,5.82
0.01,0.07,1.01,-3.25,8.55,6.76
0.01,0.06,1.02,-1.77,7.89,7.78
0.02,0.05,1.02,0.12,7.43,8.82
0.02,0.05,1.02,0.12,7.43,8.82
0.01,0.04,1.02,2.23,7.14,9.8
0.01,0.04,1.02,4.47,7.01,10.68
-0.0,0.04,1.04,6.75,7.04,11.44
-0.02,0.05,1.05,8.91,7.18,12.02
-0.02,0.05,1.06,10.73,7.37,12.32
-0.02,0.05,1.06,10.73,7.37,12.32
-0.03,0.06,1.08,12.1,7.67,12.36
-0.03,0.06,1.1,12.9,8.13,12.17
-0.04,0.05,1.12,13.03,8.63,11.87
-0.04,0.03,1.14,12.49,9.04,11.52
-0.06,0.02,1.15,11.44,9.33,11.07
-0.06,0.02,1.15,11.44,9.33,11.07
-0.07,-0.0,1.16,10.0,9.46,10.49
-0.09,-0.03,1.17,8.31,9.27,9.62
-0.09,-0.05,1.18,6.58,8.68,8.49
-0.09,-0.08,1.19,4.93,7.71,7.04
-0.08,-0.11,1.2,3.4,6.42,5.4
-0.08,-0.11,1.2,3.4,6.42,5.4
-0.06,-0.13,1.21,2.0,5.04,3.68
-0.05,-0.16,1.23,0.73,3.64,1.87
-0.04,-0.19,1.24,-0.34,2.27,0.0
