ax,ay,az,gx,gy,gz
1.2,0.63,0.63,18.22,72.55,45.34
1.2,0.56,0.65,20.49,72.14,54.43
1.2,0.5,0.67,22.75,70.27,63.63
1.21,0.44,0.69,25.07,67.08,72.79
1.22,0.39,0.7,27.34,62.93,81.71
1.24,0.34,0.73,29.36,58.17,90.2
1.24,0.34,0.73,29.36,58.17,90.2
1.26,0.29,0.77,31.0,53.28,98.09
1.25,0.25,0.82,32.25,48.64,105.12
1.18,0.23,0.89,33.03,44.54,110.69
1.09,0.21,0.96,33.03,40.73,113.7
1.02,0.13,1.02,31.59,36.57,113.43
1.02,0.13,1.02,31.59,36.57,113.43
0.99,0.03,1.04,28.47,31.59,110.08
1.0,-0.09,1.06,24.03,25.88,104.54
0.99,-0.16,1.06,18.69,19.75,98.52
0.96,-0.2,1.07,12.99,13.01,92.57
0.97,-0.27,1.04,7.22,5.42,85.33
0.97,-0.27,1.04,7.22,5.42,85.33
1.0,-0.37,0.96,2.59,-2.46,76.77
1.02,-0.45,0.88,0.79,-9.74,68.59
0.99,-0.48,0.87,2.44,-16.04,62.06
0.93,-0.45,0.93,6.5,-21.35,57.04
0.86,-0.43,0.99,10.83,-26.04,52.27
0.86,-0.43,0.99,10.83,-26.04,52.27
0.81,-0.43,1.01,14.01,-30.28,46.72
0.76,-0.45,1.03,15.33,-33.91,40.7
0.71,-0.45,1.06,14.31,-36.81,34.84
0.65,-0.46,1.06,10.75,-38.9,29.01
0.61,-0.49,1.02,5.43,-40.25,22.5
0.61,-0.49,1.02,5.43,-40.25,22.5
0.58,-0.53,1.0,-0.32,-40.8,14.98
0.53,-0.54,1.0,-5.94,-40.46,6.91
0.47,-0.51,1.02,-11.92,-39.37,-1.18
0.43,-0.49,1.01,-18.84,-37.93,-9.66
0.42,-0.53,0.95,-26.18,-36.32,-18.82
0.42,-0.53,0.95,-26.18,-36.32,-18.82
0.43,-0.58,0.9,-32.57,-34.61,-28.12
0.42,-0.62,0.88,-36.78,-32.94,-36.79
0.4,-0.61,0.88,-38.32,-31.37,-44.54
0.39,-0.57,0.91,-37.57,-29.8,-51.26
0.38,-0.49,0.96,-35.23,-28.08,-56.79
0.38,-0.49,0.96,-35.23,-28.08,-56.79
0.36,-0.38,1.02,-32.74,-26.22,-61.39
0.32,-0.26,1.05,-31.32,-24.3,-65.58
0.3,-0.21,1.05,-31.36,-22.57,-70.62
0.3,-0.18,1.05,-32.94,-20.99,-76.09
0.24,-0.09,1.04,-36.18,-19.59,-79.85
0.24,-0.09,1.04,-36.18,-19.59,-79.85
0.22,-0.04,0.98,-41.4,-18.97,-83.25
0.28,-0.07,0.9,-47.81,-19.2,-87.26
0.33,-0.1,0.84,-53.92,-19.87,-90.19
0.34,-0.1,0.79,-59.01,-20.74,-90.94
0.36,-0.08,0.74,-62.61,-21.71,-90.2
0.36,-0.08,0.74,-62.61,-21.71,-90.2
0.39,-0.06,0.72,-64.26,-22.56,-88.77
0.43,-0.0,0.74,-64.41,-22.82,-86.83
0.46,0.07,0.75,-64.06,-22.08,-84.28
0.47,0.12,0.73,-63.67,-20.2,-81.56
0.46,0.15,0.71,-63.26,-17.33,-79.14
0.46,0.15,0.71,-63.26,-17.33,-79.14
0.44,0.17,0.7,-62.76,-13.78,-77.16
0.41,0.21,0.7,-62.26,-10.03,-75.49
0.39,0.25,0.68,-61.75,-6.55,-74.08
0.37,0.28,0.68,-60.92,-3.56,-72.98
0.34,0.32,0.69,-59.75,-1.4,-72.24
0.34,0.32,0.69,-59.75,-1.4,-72.24
0.32,0.37,0.7,-58.47,-0.54,-71.86
0.33,0.41,0.69,-56.95,-1.26,-71.58
0.36,0.45,0.68,-54.84,-3.51,-70.98
0.41,0.5,0.67,-51.59,-7.08,-69.7
0.49,0.59,0.66,-46.81,-11.49,-67.49
0.49,0.59,0.66,-46.81,-11.49,-67.49
0.59,0.69,0.65,-40.63,-16.05,-64.45
0.7,0.8,0.62,-33.45,-20.11,-60.98
0.82,0.89,0.6,-25.7,-23.06,-57.23
0.93,0.95,0.56,-17.91,-24.44,-53.07
1.01,1.0,0.52,-10.63,-23.87,-48.23
1.01,1.0,0.52,-10.63,-23.87,-48.23
1.06,1.03,0.49,-4.3,-21.32,-42.49
1.09,1.04,0.47,0.81,-17.03,-35.98
1.11,1.04,0.46,4.72,-11.49,-29.05
1.13,1.02,0.44,7.61,-5.08,-21.82
1.16,0.99,0.43,9.91,2.04,-14.09
1.16,0.99,0.43,9.91,2.04,-14.09
1.18,0.97,0.43,12.03,9.77,-5.6
1.18,0.94,0.45,14.31,17.82,3.55
1.14,0.91,0.47,16.71,25.42,12.8
1.1,0.88,0.51,19.36,31.38,21.8
1.08,0.86,0.54,22.48,34.65,30.53
1.08,0.86,0.54,22.48,34.65,30.53
1.11,0.82,0.56,25.89,35.39,38.7
1.18,0.77,0.58,28.95,34.73,46.18
1.23,0.71,0.61,31.16,33.74,53.16
1.26,0.65,0.65,32.45,32.92,59.68
1.27,0.59,0.69,32.96,32.41,65.7
1.27,0.59,0.69,32.96,32.41,65.7
1.29,0.52,0.72,32.97,32.23,71.09
1.31,0.44,0.75,32.91,32.43,75.82
1.31,0.36,0.77,33.08,33.05,79.95
1.27,0.29,0.78,33.75,33.97,83.4
1.21,0.22,0.81,35.06,34.76,86.09
1.21,0.22,0.81,35.06,34.76,86.09
1.2,0.13,0.86,36.39,35.05,87.76
1.13,0.11,0.88,37.12,35.22,90.28
1.04,0.05,0.9,37.06,34.05,92.06
1.04,-0.11,0.9,36.77,30.8,90.47
1.05,-0.2,0.91,36.62,26.91,87.38
1.05,-0.2,0.91,36.62,26.91,87.38
1.04,-0.28,0.89,36.0,22.57,84.62
1.01,-0.36,0.86,36.61,17.75,82.33
0.96,-0.43,0.89,38.35,12.74,79.44
0.92,-0.47,0.96,39.95,7.34,75.0
0.93,-0.48,0.98,40.21,1.88,68.97
0.93,-0.48,0.98,40.21,1.88,68.97
0.96,-0.49,0.97,39.48,-3.04,62.58
0.95,-0.49,1.0,38.37,-6.71,56.63
0.92,-0.5,1.05,36.75,-8.97,50.69
0.87,-0.51,1.07,34.26,-9.93,44.65
0.81,-0.52,1.09,30.87,-9.87,38.69
0.81,-0.52,1.09,30.87,-9.87,38.69
0.72,-0.53,1.12,26.46,-9.09,32.85
0.63,-0.55,1.13,20.8,-8.22,27.05
0.55,-0.59,1.11,14.01,-7.73,21.12
0.48,-0.64,1.07,6.78,-7.94,14.91
0.4,-0.68,1.03,0.28,-9.1,8.22
0.4,-0.68,1.03,0.28,-9.1,8.22
0.36,-0.73,1.0,-4.8,-11.18,0.65
0.34,-0.74,0.96,-7.93,-13.64,-6.86
0.31,-0.68,0.96,-8.92,-16.15,-13.53
0.33,-0.61,1.0,-8.56,-18.76,-20.97
0.4,-0.54,1.03,-7.32,-20.65,-28.98
0.4,-0.54,1.03,-7.32,-20.65,-28.98
0.41,-0.47,1.05,-5.53,-21.29,-36.51
0.38,-0.4,1.05,-3.68,-20.69,-43.34
0.34,-0.34,1.03,-2.04,-19.17,-49.61
0.31,-0.29,1.01,-0.8,-17.17,-55.3
0.29,-0.23,0.99,-0.17,-15.16,-60.08
0.29,-0.23,0.99,-0.17,-15.16,-60.08
0.26,-0.17,0.96,-0.53,-13.52,-63.45
0.22,-0.14,0.92,-1.94,-12.86,-65.44
0.2,-0.13,0.88,-3.97,-13.62,-66.2
0.19,-0.09,0.86,-6.02,-15.84,-65.59
0.22,-0.02,0.86,-7.74,-19.17,-63.81
0.22,-0.02,0.86,-7.74,-19.17,-63.81
0.27,0.05,0.89,-9.27,-22.97,-61.46
0.34,0.1,0.9,-11.04,-26.51,-59.03
0.41,0.16,0.89,-13.11,-29.15,-56.59
0.46,0.21,0.89,-15.33,-30.41,-53.91
0.5,0.27,0.87,-17.78,-30.08,-50.98
0.5,0.27,0.87,-17.78,-30.08,-50.98
0.52,0.31,0.84,-20.73,-28.21,-48.15
0.53,0.34,0.8,-24.16,-24.99,-45.38
0.53,0.36,0.75,-27.98,-20.75,-42.52
0.51,0.38,0.7,-31.96,-15.97,-39.72
0.5,0.38,0.63,-35.64,-11.15,-37.1
0.5,0.38,0.63,-35.64,-11.15,-37.1
0.48,0.38,0.56,-38.37,-6.83,-34.57
0.49,0.4,0.5,-39.58,-3.26,-32.07
0.51,0.42,0.46,-38.83,-0.48,-29.65
0.56,0.46,0.46,-35.97,1.66,-27.13
0.59,0.5,0.44,-31.34,3.39,-24.35
0.59,0.5,0.44,-31.34,3.39,-24.35
0.64,0.55,0.43,-25.45,4.85,-21.3
0.69,0.61,0.42,-18.69,6.26,-18.05
0.76,0.69,0.44,-11.34,7.65,-14.7
0.83,0.75,0.44,-4.03,9.04,-11.29
0.9,0.8,0.44,2.42,10.39,-7.74
0.9,0.8,0.44,2.42,10.39,-7.74
0.97,0.83,0.43,7.42,11.61,-4.04
1.05,0.85,0.45,10.88,12.85,-0.37
1.14,0.86,0.49,12.84,14.51,2.95
1.21,0.84,0.5,13.41,16.98,6.03
1.25,0.82,0.48,12.86,20.32,9.24
1.25,0.82,0.48,12.86,20.32,9.24
1.26,0.81,0.46,11.78,24.51,12.78
1.27,0.8,0.46,10.78,29.44,16.39
1.26,0.79,0.49,10.2,34.61,19.9
1.24,0.77,0.52,10.16,38.87,23.3
1.23,0.75,0.53,10.91,40.85,26.7
1.23,0.75,0.53,10.91,40.85,26.7
1.25,0.72,0.51,12.81,40.23,30.12
1.31,0.69,0.49,15.95,37.85,33.61
1.37,0.67,0.51,19.94,34.9,37.24
1.4,0.65,0.55,24.15,32.27,41.09
1.4,0.63,0.6,27.96,30.35,45.17
1.4,0.63,0.6,27.96,30.35,45.17
1.37,0.6,0.64,31.03,29.18,49.31
1.34,0.55,0.67,33.27,28.55,53.22
1.3,0.48,0.67,34.91,28.11,56.6
1.25,0.4,0.68,36.77,27.58,59.19
1.24,0.32,0.72,38.93,27.12,61.15
1.24,0.32,0.72,38.93,27.12,61.15
1.17,0.33,0.79,41.15,27.18,63.74
