ax,ay,az,gx,gy,gz
-1.2,-0.83,0.82,-49.62,74.37,67.16
-1.16,-0.86,0.85,-53.83,70.96,54.27
-1.1,-0.88,0.86,-57.5,66.8,41.23
-1.02,-0.91,0.87,-60.14,62.17,27.98
-0.92,-0.94,0.88,-61.27,57.1,14.82
-0.92,-0.94,0.88,-61.27,57.1,14.82
-0.82,-0.94,0.9,-60.74,51.74,2.21
-0.72,-0.92,0.92,-58.44,46.22,-9.49
-0.62,-0.88,0.94,-54.34,40.86,-20.41
-0.49,-0.83,0.98,-48.42,35.95,-30.76
-0.36,-0.76,1.03,-40.76,31.61,-40.51
-0.36,-0.76,1.03,-40.76,31.61,-40.51
-0.24,-0.65,1.09,-31.63,27.86,-49.58
-0.13,-0.51,1.15,-21.58,24.56,-57.95
-0.04,-0.35,1.21,-11.01,21.32,-65.67
0.02,-0.17,1.28,-0.43,17.76,-72.91
0.05,0.02,1.35,9.42,13.56,-79.93
0.05,0.02,1.35,9.42,13.56,-79.93
0.07,0.21,1.37,17.87,8.61,-86.88
0.09,0.39,1.39,24.7,2.77,-93.59
0.12,0.55,1.39,29.65,-3.72,-99.77
0.11,0.7,1.37,32.59,-10.52,-105.03
0.02,0.83,1.34,33.82,-17.22,-109.06
0.02,0.83,1.34,33.82,-17.22,-109.06
-0.11,0.93,1.28,33.88,-23.55,-112.04
-0.24,1.0,1.22,33.41,-29.35,-113.82
-0.33,1.06,1.16,33.16,-34.82,-113.87
-0.38,1.11,1.12,33.6,-39.87,-111.73
-0.41,1.16,1.07,34.69,-44.19,-107.29
-0.41,1.16,1.07,34.69,-44.19,-107.29
-0.43,1.19,1.03,36.16,-47.61,-100.66
-0.47,1.22,0.97,37.79,-50.09,-92.18
-0.53,1.23,0.91,39.57,-51.95,-82.29
-0.58,1.23,0.84,41.58,-53.63,-71.4
-0.64,1.23,0.78,43.71,-55.48,-59.75
-0.64,1.23,0.78,43.71,-55.48,-59.75
-0.68,1.22,0.71,45.68,-57.4,-47.46
-0.7,1.21,0.65,47.07,-59.12,-34.68
-0.72,1.2,0.59,47.46,-60.22,-21.5
-0.73,1.16,0.53,46.38,-60.13,-8.25
-0.74,1.09,0.47,43.55,-58.59,4.87
-0.74,1.09,0.47,43.55,-58.59,4.87
-0.76,0.99,0.41,38.97,-55.57,17.75
-0.77,0.88,0.36,32.96,-51.21,30.19
-0.76,0.76,0.31,26.08,-45.54,42.03
-0.75,0.63,0.25,18.88,-38.59,53.34
-0.74,0.5,0.2,11.73,-30.57,64.28
-0.74,0.5,0.2,11.73,-30.57,64.28
-0.75,0.37,0.15,4.78,-21.77,74.97
-0.76,0.24,0.1,-2.01,-12.41,85.29
