ax,ay,az,gx,gy,gz
0.09,0.55,0.86,-3.85,12.99,-6.84
0.1,0.55,0.87,-3.2,11.8,-5.93
0.11,0.55,0.86,-2.09,10.37,-4.95
0.11,0.55,0.86,-2.09,10.37,-4.95
0.13,0.54,0.87,-0.74,8.95,-4.04
0.15,0.54,0.87,0.77,7.74,-3.23
0.17,0.54,0.87,2.35,6.84,-2.53
0.17,0.54,0.88,3.87,6.34,-1.97
0.17,0.54,0.87,5.19,6.26,-1.64
0.17,0.54,0.87,5.19,6.26,-1.64
0.17,0.53,0.87,6.24,6.45,-1.51
0.17,0.53,0.87,7.01,6.78,-1.53
0.18,0.52,0.86,7.57,7.23,-1.62
0.18,0.51,0.87,7.99,7.73,-1.8
0.17,0.52,0.87,8.3,8.22,-2.03
0.17,0.52,0.87,8.3,8.22,-2.03
0.16,0.52,0.87,8.44,8.68,-2.32
0.16,0.53,0.88,8.36,9.06,-2.67
0.16,0.54,0.89,8.02,9.41,-3.04
0.16,0.54,0.89,7.41,9.72,-3.35
0.16,0.54,0.89,6.57,9.93,-3.59
0.15,0.54,0.89,6.57,9.93,-3.59
0.15,0.53,0.88,5.6,10.03,-3.73
0.14,0.52,0.88,4.67,9.9,-3.81
0.14,0.51,0.88,3.9,9.53,-3.83
0.14,0.51,0.88,3.37,8.96,-3.81
0.14,0.51,0.88,3.06,8.26,-3.83
0.15,0.51,0.88,3.06,8.26,-3.83
0.16,0.51,0.89,2.89,7.55,-3.9
0.17,0.52,0.89,2.8,6.97,-4.05
0.17,0.53,0.89,2.74,6.61,-4.32
0.18,0.54,0.89,2.58,6.43,-4.69
0.18,0.54,0.89,2.29,6.41,-5.07
0.19,0.55,0.88,2.29,6.41,-5.07
0.2,0.56,0.86,1.9,6.55,-5.44
0.21,0.56,0.85,1.57,6.73,-5.84
0.23,0.58,0.84,1.4,6.87,-6.33
0.24,0.6,0.83,1.37,6.94,-6.84
0.24,0.6,0.83,1.37,6.94,-6.84
0.27,0.62,0.82,1.37,7.11,-7.39
0.29,0.64,0.81,1.39,7.39,-7.98
0.31,0.67,0.8,1.39,7.81,-8.56
0.32,0.7,0.79,1.41,8.38,-9.14
0.32,0.73,0.79,1.51,9.02,-9.68
0.32,0.73,0.79,1.51,9.02,-9.68
0.31,0.77,0.79,1.65,9.54,-9.96
0.3,0.8,0.79,1.77,9.83,-9.76
0.29,0.82,0.79,1.77,9.99,-8.99
0.29,0.84,0.79,1.68,9.93,-7.84
0.3,0.86,0.78,1.64,9.6,-6.44
0.3,0.86,0.78,1.64,9.6,-6.44
0.32,0.86,0.77,1.81,9.03,-4.76
0.34,0.87,0.76,2.22,8.32,-2.84
0.36,0.88,0.75,2.85,7.61,-0.75
0.39,0.89,0.74,3.64,6.92,1.46
0.41,0.89,0.72,4.54,6.28,3.73
0.41,0.89,0.72,4.54,6.28,3.73
0.43,0.88,0.7,5.55,5.67,5.99
0.45,0.87,0.69,6.69,5.15,8.14
0.46,0.86,0.69,8.02,4.81,10.19
0.44,0.87,0.7,9.58,4.86,12.09
0.4,0.89,0.7,11.23,5.26,13.78
0.4,0.89,0.7,11.23,5.26,13.78
0.36,0.9,0.7,12.73,5.85,15.24
0.33,0.93,0.71,13.89,6.53,16.58
0.3,0.96,0.73,14.58,7.29,17.87
0.27,0.98,0.73,14.69,8.06,19.17
0.25,1.0,0.74,14.18,8.77,20.67
0.25,1.0,0.74,14.18,8.77,20.67
0.21,1.01,0.74,13.0,9.33,22.53
0.18,0.99,0.73,11.17,9.61,24.69
0.17,0.96,0.71,8.95,9.52,27.17
0.16,0.91,0.71,6.88,8.95,29.96
0.15,0.87,0.71,5.34,8.04,32.93
0.15,0.87,0.71,5.34,8.04,32.93
0.15,0.84,0.69,4.6,6.95,35.84
0.15,0.81,0.67,4.73,5.75,38.55
0.15,0.79,0.68,5.64,4.64,41.0
0.16,0.8,0.71,7.12,3.99,43.16
0.15,0.82,0.72,8.83,4.19,44.97
0.15,0.82,0.72,8.83,4.19,44.97
0.13,0.82,0.71,10.4,5.2,46.52
0.11,0.82,0.71,11.53,6.8,48.01
0.08,0.84,0.75,12.23,9.0,49.56
0.04,0.87,0.79,12.49,11.81,51.14
-0.03,0.88,0.82,12.09,14.97,52.67
-0.03,0.88,0.82,12.09,14.97,52.67
-0.08,0.87,0.81,10.88,18.08,54.23
-0.12,0.85,0.82,8.8,20.74,56.06
-0.14,0.81,0.81,5.95,22.75,58.33
-0.14,0.77,0.81,2.69,24.03,60.86
-0.12,0.71,0.8,-0.33,24.64,63.3
-0.12,0.71,0.8,-0.33,24.64,63.3
-0.09,0.66,0.79,-2.62,24.63,65.56
-0.08,0.61,0.79,-3.96,24.25,67.62
-0.07,0.58,0.78,-4.53,23.73,69.54
-0.06,0.56,0.77,-4.54,23.14,71.31
-0.06,0.54,0.77,-4.26,22.6,72.92
-0.06,0.54,0.77,-4.26,22.6,72.92
-0.05,0.51,0.76,-3.97,22.27,74.4
-0.04,0.48,0.76,-3.83,22.33,75.7
-0.04,0.45,0.77,-3.98,22.93,76.75
-0.04,0.41,0.78,-4.41,24.12,77.48
-0.03,0.38,0.78,-5.05,25.89,77.87
-0.03,0.38,0.78,-5.05,25.89,77.87
-0.01,0.35,0.77,-5.9,28.09,77.85
0.01,0.33,0.78,-6.79,30.63,77.31
0.02,0.32,0.8,-7.59,33.49,76.15
0.0,0.3,0.81,-8.36,36.65,74.53
-0.02,0.28,0.81,-9.2,39.89,72.74
-0.02,0.28,0.81,-9.2,39.89,72.74
-0.04,0.25,0.82,-10.2,42.87,71.03
-0.06,0.21,0.83,-11.22,45.36,69.48
-0.07,0.18,0.83,-11.96,47.36,68.1
-0.07,0.16,0.84,-12.16,48.9,66.9
-0.06,0.14,0.84,-11.7,49.98,65.85
-0.06,0.14,0.84,-11.7,49.98,65.85
-0.05,0.13,0.85,-10.64,50.58,64.92
-0.03,0.14,0.86,-9.16,50.83,64.01
-0.02,0.14,0.87,-7.55,50.8,62.9
-0.02,0.15,0.87,-5.98,50.54,61.43
-0.02,0.16,0.88,-4.63,50.2,59.56
-0.02,0.16,0.88,-4.63,50.2,59.56
-0.01,0.17,0.91,-3.59,49.9,57.35
-0.02,0.18,0.94,-3.05,49.8,54.97
-0.03,0.18,0.95,-3.14,49.98,52.48
-0.05,0.17,0.96,-3.9,50.32,49.95
-0.07,0.17,0.95,-5.16,50.59,47.39
-0.07,0.17,0.95,-5.16,50.59,47.39
-0.07,0.16,0.95,-6.69,50.54,44.82
-0.06,0.16,0.96,-8.15,50.12,42.21
-0.05,0.16,0.97,-9.36,49.39,39.5
-0.04,0.18,0.98,-10.3,48.44,36.73
-0.05,0.19,1.0,-11.04,47.33,34.03
-0.05,0.19,1.0,-11.04,47.33,34.03
-0.06,0.2,1.02,-11.68,46.1,31.55
-0.06,0.2,1.04,-12.19,44.73,29.42
-0.05,0.19,1.06,-12.53,43.3,27.64
-0.04,0.18,1.08,-12.61,41.89,26.15
-0.04,0.16,1.1,-12.34,40.49,24.81
-0.04,0.16,1.1,-12.34,40.49,24.81
-0.05,0.15,1.1,-11.59,39.06,23.41
-0.05,0.15,1.11,-10.28,37.36,21.79
-0.03,0.16,1.13,-8.48,35.44,19.92
-0.02,0.18,1.14,-6.43,33.37,17.83
-0.02,0.2,1.15,-4.37,31.27,15.62
-0.02,0.2,1.15,-4.37,31.27,15.62
-0.01,0.21,1.17,-2.51,29.2,13.45
-0.0,0.22,1.2,-0.96,27.27,11.47
0.01,0.21,1.24,0.13,25.6,9.73
0.01,0.17,1.29,0.79,24.35,8.23
-0.0,0.12,1.34,1.23,23.57,6.75
-0.0,0.12,1.34,1.23,23.57,6.75
-0.03,0.06,1.37,1.68,23.15,5.12
-0.06,0.0,1.38,2.51,22.71,3.06
-0.08,-0.03,1.37,3.93,22.06,0.24
-0.07,-0.07,1.32,6.22,21.21,-3.73
-0.02,-0.11,1.25,9.88,20.19,-8.76
-0.02,-0.11,1.25,9.88,20.19,-8.76
0.04,-0.1,1.2,15.16,19.05,-14.39
0.08,-0.07,1.18,21.76,18.03,-20.24
0.12,-0.01,1.16,29.61,17.27,-25.96
0.15,0.07,1.18,38.21,17.04,-30.98
0.17,0.18,1.22,46.39,17.43,-35.18
0.17,0.18,1.22,46.39,17.43,-35.18
0.18,0.28,1.27,53.1,18.48,-38.59
0.15,0.37,1.33,57.43,19.84,-41.33
0.11,0.43,1.38,58.7,21.19,-43.64
0.05,0.46,1.42,56.68,22.1,-45.64
0.0,0.47,1.45,51.56,22.28,-47.25
0.0,0.47,1.45,51.56,22.28,-47.25
-0.05,0.44,1.46,43.84,21.49,-48.44
-0.1,0.38,1.43,34.28,19.58,-49.29
-0.16,0.31,1.38,23.95,16.14,-49.85
-0.22,0.24,1.32,14.0,10.81,-50.02
-0.24,0.19,1.27,5.23,3.62,-49.86
-0.24,0.19,1.27,5.23,3.62,-49.86
-0.23,0.14,1.22,-1.79,-5.02,-49.5
-0.2,0.1,1.18,-6.66,-14.44,-49.06
-0.17,0.09,1.15,-9.21,-24.12,-48.66
-0.15,0.1,1.13,-9.68,-33.45,-48.37
-0.12,0.12,1.12,-8.65,-41.94,-48.28
-0.12,0.12,1.12,-8.65,-41.94,-48.28
-0.11,0.15,1.09,-6.66,-49.23,-48.42
-0.11,0.17,1.07,-4.09,-55.3,-48.71
-0.12,0.19,1.05,-1.36,-60.18,-49.16
-0.13,0.21,1.03,1.36,-64.0,-49.76
-0.14,0.22,1.01,3.93,-67.04,-50.42
-0.14,0.22,1.01,3.93,-67.04,-50.42
-0.16,0.24,0.98,6.22,-69.47,-51.13
-0.17,0.25,0.94,8.21,-71.52,-51.92
-0.18,0.28,0.9,9.88,-73.46,-52.82
-0.17,0.31,0.87,11.11,-75.48,-53.84
-0.15,0.33,0.85,11.85,-77.53,-54.93
-0.15,0.33,0.85,11.85,-77.53,-54.93
-0.13,0.35,0.83,11.91,-79.46,-56.0
-0.11,0.36,0.8,11.3,-81.22,-57.0
-0.1,0.37,0.79,10.08,-82.73,-58.03
-0.09,0.38,0.77,8.29,-83.88,-59.25
-0.07,0.38,0.75,6.09,-84.56,-60.68
-0.07,0.38,0.75,6.09,-84.56,-60.68
-0.07,0.37,0.73,3.64,-84.68,-62.21
-0.08,0.37,0.7,1.19,-84.24,-63.9
-0.08,0.37,0.67,-1.03,-83.31,-65.85
-0.07,0.38,0.65,-2.8,-82.0,-68.1
-0.05,0.39,0.62,-4.01,-80.33,-70.51
-0.05,0.39,0.62,-4.01,-80.33,-70.51
-0.02,0.4,0.6,-4.63,-78.41,-72.86
0.0,0.43,0.59,-4.69,-76.24,-75.03
0.02,0.46,0.58,-4.26,-73.72,-77.11
0.03,0.48,0.59,-3.59,-70.74,-79.09
0.03,0.5,0.61,-2.89,-67.25,-80.87
0.03,0.5,0.61,-2.89,-67.25,-80.87
0.01,0.51,0.62,-2.4,-63.3,-82.44
-0.02,0.52,0.63,-2.02,-59.07,-83.84
-0.06,0.53,0.64,-1.5,-54.76,-85.11
-0.09,0.54,0.64,-0.58,-50.73,-86.19
-0.12,0.55,0.63,0.83,-47.16,-87.09
-0.12,0.55,0.63,0.83,-47.16,-87.09
-0.15,0.59,0.63,2.71,-44.2,-87.96
-0.19,0.63,0.63,4.93,-42.05,-88.95
-0.2,0.68,0.62,7.29,-40.89,-90.02
-0.2,0.72,0.61,9.5,-40.84,-91.09
-0.19,0.76,0.61,11.26,-41.79,-91.99
-0.19,0.76,0.61,11.26,-41.79,-91.99
-0.16,0.8,0.62,12.33,-43.44,-92.58
-0.11,0.82,0.64,12.49,-45.37,-92.77
-0.07,0.82,0.65,11.69,-47.03,-92.57
-0.03,0.81,0.66,10.04,-47.98,-91.91
-0.02,0.78,0.66,7.73,-48.01,-90.82
-0.02,0.78,0.66,7.73,-48.01,-90.82
-0.03,0.76,0.63,5.21,-47.21,-89.45
-0.05,0.73,0.61,3.04,-45.98,-87.99
-0.06,0.7,0.59,1.74,-44.71,-86.54
-0.06,0.69,0.56,1.58,-43.66,-85.12
-0.04,0.7,0.54,2.62,-42.88,-83.79
-0.04,0.7,0.54,2.62,-42.88,-83.79
-0.02,0.73,0.53,4.66,-42.36,-82.68
0.02,0.76,0.53,7.31,-41.91,-81.84
0.05,0.78,0.53,10.25,-41.23,-81.14
0.08,0.81,0.53,13.2,-40.08,-80.49
0.09,0.84,0.54,15.95,-38.37,-79.73
0.09,0.84,0.54,15.95,-38.37,-79.73
0.1,0.86,0.55,18.29,-36.04,-78.77
0.1,0.88,0.55,20.09,-33.17,-77.51
0.08,0.9,0.55,21.27,-29.92,-75.97
0.06,0.92,0.55,21.91,-26.56,-74.26
0.05,0.93,0.54,22.16,-23.33,-72.46
0.05,0.93,0.54,22.16,-23.33,-72.46
