ax,ay,az,gx,gy,gz
-0.52,0.02,0.81,-2.05,-0.87,-4.86
-0.52,0.02,0.81,-2.11,-0.99,-4.88
-0.52,0.02,0.81,-2.2,-1.06,-4.84
-0.53,0.02,0.81,-2.28,-1.1,-4.76
-0.53,0.02,0.8,-2.31,-1.18,-4.65
-0.53,0.02,0.8,-2.3,-1.32,-4.56
-0.53,0.02,0.8,-2.3,-1.32,-4.56
-0.53,0.02,0.8,-2.25,-1.49,-4.47
-0.53,0.02,0.8,-2.2,-1.64,-4.44
-0.53,0.02,0.8,-2.13,-1.77,-4.39
-0.53,0.02,0.8,-2.08,-1.81,-4.4
-0.53,0.03,0.8,-2.01,-1.8,-4.46
-0.53,0.03,0.8,-2.01,-1.8,-4.46
-0.52,0.03,0.8,-1.97,-1.75,-4.54
-0.52,0.03,0.8,-2.01,-1.71,-4.64
-0.52,0.04,0.79,-2.11,-1.67,-4.68
-0.52,0.04,0.79,-2.28,-1.7,-4.67
-0.52,0.03,0.79,-2.46,-1.82,-4.63
-0.52,0.03,0.79,-2.46,-1.82,-4.63
-0.52,0.03,0.79,-2.61,-2.06,-4.58
-0.52,0.03,0.79,-2.69,-2.35,-4.52
-0.51,0.03,0.79,-2.71,-2.67,-4.38
-0.51,0.03,0.78,-2.73,-2.96,-4.19
-0.51,0.02,0.78,-2.7,-3.19,-4.02
-0.51,0.02,0.78,-2.7,-3.19,-4.02
-0.5,0.02,0.78,-2.6,-3.41,-3.83
-0.51,0.02,0.78,-2.42,-3.56,-3.65
-0.51,0.02,0.78,-2.23,-3.7,-3.48
-0.51,0.03,0.78,-2.07,-3.82,-3.33
-0.51,0.03,0.78,-1.99,-3.89,-3.22
-0.51,0.03,0.78,-1.99,-3.89,-3.22
-0.51,0.03,0.78,-2.02,-3.96,-3.12
-0.51,0.03,0.78,-2.1,-3.96,-3.03
-0.51,0.03,0.78,-2.23,-3.86,-3.02
-0.51,0.03,0.78,-2.41,-3.67,-3.08
-0.51,0.03,0.78,-2.56,-3.35,-3.22
-0.51,0.03,0.78,-2.56,-3.35,-3.22
-0.51,0.03,0.77,-2.68,-2.96,-3.38
-0.5,0.03,0.77,-2.74,-2.55,-3.51
-0.51,0.03,0.77,-2.69,-2.11,-3.57
-0.51,0.03,0.77,-2.59,-1.67,-3.6
-0.51,0.03,0.77,-2.47,-1.22,-3.54
-0.51,0.03,0.77,-2.47,-1.22,-3.54
-0.51,0.03,0.77,-2.29,-0.76,-3.46
-0.51,0.03,0.77,-2.07,-0.35,-3.33
-0.51,0.03,0.78,-1.84,-0.03,-3.13
-0.51,0.04,0.78,-1.64,0.22,-2.8
-0.52,0.03,0.78,-1.51,0.35,-2.37
-0.52,0.03,0.78,-1.51,0.35,-2.37
-0.52,0.02,0.78,-1.36,0.28,-1.93
-0.52,0.02,0.78,-1.13,0.03,-1.51
-0.52,0.02,0.78,-0.81,-0.35,-1.13
-0.52,0.03,0.79,-0.48,-0.83,-0.8
-0.51,0.03,0.79,-0.23,-1.38,-0.52
-0.51,0.03,0.79,-0.23,-1.38,-0.52
-0.5,0.03,0.79,-0.11,-1.89,-0.32
-0.5,0.03,0.8,-0.19,-2.32,-0.14
-0.5,0.02,0.8,-0.43,-2.58,0.01
-0.5,0.01,0.79,-0.8,-2.7,0.13
-0.5,0.0,0.79,-1.23,-2.65,0.15
-0.5,0.0,0.79,-1.23,-2.65,0.15
-0.49,-0.01,0.79,-1.59,-2.39,0.06
-0.49,-0.02,0.78,-1.78,-1.9,-0.09
-0.49,-0.02,0.78,-1.7,-1.22,-0.3
-0.49,-0.02,0.78,-1.41,-0.46,-0.55
-0.5,-0.01,0.78,-0.98,0.27,-0.84
-0.5,-0.01,0.78,-0.98,0.27,-0.84
-0.5,-0.0,0.78,-0.49,0.87,-1.11
-0.5,0.01,0.79,-0.05,1.29,-1.41
-0.5,0.01,0.79,0.3,1.5,-1.67
-0.49,0.02,0.79,0.51,1.51,-1.92
-0.49,0.02,0.79,0.49,1.35,-2.09
-0.49,0.02,0.79,0.49,1.35,-2.09
-0.49,0.02,0.8,0.31,1.09,-2.15
-0.49,0.02,0.79,-0.04,0.77,-2.16
-0.49,0.01,0.79,-0.45,0.43,-2.22
-0.49,0.0,0.79,-0.78,0.1,-2.29
-0.5,0.0,0.79,-0.94,-0.13,-2.39
-0.5,0.0,0.79,-0.94,-0.13,-2.39
-0.5,0.0,0.79,-0.94,-0.21,-2.52
-0.5,0.01,0.8,-0.86,-0.06,-2.75
-0.5,0.01,0.8,-0.76,0.26,-3.07
-0.5,0.01,0.8,-0.7,0.73,-3.37
-0.51,0.01,0.8,-0.62,1.29,-3.62
-0.51,0.01,0.8,-0.62,1.29,-3.62
-0.52,0.02,0.8,-0.52,1.84,-3.8
-0.52,0.02,0.8,-0.51,2.31,-3.95
-0.53,0.02,0.8,-0.49,2.61,-4.08
-0.53,0.02,0.8,-0.41,2.78,-4.19
-0.53,0.03,0.81,-0.3,2.78,-4.21
-0.53,0.03,0.81,-0.3,2.78,-4.21
-0.53,0.04,0.8,-0.2,2.62,-4.15
-0.53,0.04,0.81,-0.15,2.41,-4.07
-0.53,0.04,0.81,-0.2,2.14,-3.99
-0.52,0.03,0.81,-0.31,1.89,-3.89
-0.52,0.03,0.81,-0.38,1.78,-3.76
-0.52,0.03,0.81,-0.38,1.78,-3.76
-0.52,0.03,0.81,-0.41,1.79,-3.59
-0.52,0.03,0.8,-0.37,1.86,-3.41
-0.52,0.02,0.8,-0.24,1.95,-3.22
-0.52,0.02,0.8,-0.11,1.96,-3.04
-0.52,0.03,0.8,0.09,1.9,-2.89
-0.52,0.03,0.8,0.09,1.9,-2.89
-0.53,0.03,0.8,0.34,1.72,-2.79
-0.52,0.04,0.8,0.58,1.41,-2.74
-0.52,0.05,0.8,0.74,0.99,-2.74
-0.52,0.05,0.81,0.7,0.51,-2.75
-0.52,0.05,0.8,0.43,0.1,-2.77
-0.52,0.05,0.8,0.43,0.1,-2.77
-0.52,0.05,0.8,0.05,-0.17,-2.74
-0.52,0.04,0.8,-0.43,-0.35,-2.73
-0.53,0.04,0.8,-0.94,-0.47,-2.72
-0.52,0.03,0.8,-1.34,-0.58,-2.7
-0.52,0.03,0.79,-1.62,-0.65,-2.61
-0.52,0.03,0.79,-1.62,-0.65,-2.61
-0.52,0.03,0.79,-1.75,-0.73,-2.33
-0.52,0.02,0.79,-1.81,-0.96,-2.0
-0.52,0.01,0.79,-1.68,-1.25,-1.67
-0.52,0.01,0.79,-1.34,-1.56,-1.33
-0.52,0.02,0.79,-0.87,-1.9,-1.02
-0.52,0.02,0.79,-0.87,-1.9,-1.02
-0.51,0.03,0.79,-0.35,-2.2,-0.76
-0.51,0.03,0.79,0.06,-2.38,-0.55
-0.5,0.04,0.8,0.28,-2.46,-0.38
-0.5,0.04,0.8,0.31,-2.38,-0.26
-0.5,0.03,0.79,0.17,-2.19,-0.16
-0.5,0.03,0.79,0.17,-2.19,-0.16
-0.5,0.03,0.8,-0.07,-1.97,-0.08
-0.51,0.03,0.8,-0.35,-1.8,0.04
-0.51,0.02,0.8,-0.65,-1.7,0.16
-0.52,0.02,0.8,-0.94,-1.74,0.22
-0.52,0.02,0.8,-1.13,-1.83,0.23
-0.52,0.02,0.8,-1.13,-1.83,0.23
-0.52,0.02,0.8,-1.26,-2.0,0.14
-0.52,0.02,0.8,-1.39,-2.2,-0.03
-0.51,0.02,0.81,-1.59,-2.37,-0.16
-0.51,0.03,0.81,-1.84,-2.54,-0.25
-0.52,0.02,0.8,-2.13,-2.68,-0.29
-0.52,0.02,0.8,-2.13,-2.68,-0.29
-0.52,0.02,0.8,-2.43,-2.8,-0.32
-0.51,0.01,0.79,-2.71,-2.85,-0.42
-0.51,0.01,0.79,-2.85,-2.75,-0.53
-0.51,0.01,0.79,-2.84,-2.54,-0.62
-0.51,0.01,0.79,-2.68,-2.24,-0.66
-0.51,0.01,0.79,-2.68,-2.24,-0.66
-0.51,0.01,0.8,-2.44,-1.9,-0.69
-0.52,0.01,0.79,-2.17,-1.59,-0.68
-0.52,0.01,0.79,-1.91,-1.39,-0.66
-0.52,0.02,0.8,-1.65,-1.33,-0.64
-0.52,0.02,0.8,-1.45,-1.4,-0.66
-0.52,0.02,0.8,-1.45,-1.4,-0.66
-0.52,0.02,0.79,-1.32,-1.51,-0.68
-0.52,0.02,0.79,-1.2,-1.7,-0.71
-0.52,0.02,0.79,-1.09,-1.9,-0.78
-0.52,0.02,0.79,-1.05,-2.11,-0.9
-0.52,0.02,0.79,-1.09,-2.31,-1.11
-0.52,0.02,0.79,-1.09,-2.31,-1.11
-0.52,0.03,0.79,-1.18,-2.44,-1.35
-0.52,0.03,0.8,-1.34,-2.48,-1.7
-0.53,0.04,0.8,-1.55,-2.47,-2.08
-0.52,0.04,0.8,-1.81,-2.44,-2.44
-0.52,0.04,0.8,-2.17,-2.45,-2.7
-0.52,0.04,0.8,-2.17,-2.45,-2.7
-0.52,0.03,0.8,-2.62,-2.5,-2.88
-0.52,0.02,0.79,-3.0,-2.51,-3.0
-0.52,0.02,0.79,-3.2,-2.52,-3.07
-0.51,0.01,0.78,-3.17,-2.52,-3.08
-0.51,0.01,0.78,-2.91,-2.48,-3.01
-0.51,0.01,0.78,-2.91,-2.48,-3.01
-0.5,0.01,0.78,-2.49,-2.38,-2.86
-0.5,0.02,0.78,-1.93,-2.25,-2.64
-0.5,0.02,0.78,-1.29,-2.18,-2.31
-0.51,0.03,0.78,-0.62,-2.19,-1.93
-0.5,0.04,0.79,-0.06,-2.34,-1.52
-0.5,0.04,0.79,-0.06,-2.34,-1.52
-0.5,0.04,0.79,0.36,-2.58,-1.12
-0.49,0.04,0.79,0.6,-2.88,-0.73
-0.49,0.04,0.79,0.74,-3.21,-0.36
-0.49,0.04,0.79,0.78,-3.45,-0.04
-0.48,0.03,0.8,0.72,-3.59,0.16
-0.48,0.03,0.8,0.72,-3.59,0.16
-0.48,0.03,0.79,0.6,-3.62,0.29
-0.48,0.03,0.79,0.43,-3.51,0.39
-0.48,0.03,0.8,0.2,-3.28,0.44
-0.48,0.03,0.8,-0.14,-2.98,0.44
-0.48,0.03,0.79,-0.5,-2.6,0.37
-0.48,0.03,0.79,-0.5,-2.6,0.37
-0.48,0.02,0.8,-0.81,-2.22,0.29
-0.48,0.02,0.81,-1.07,-1.88,0.25
-0.49,0.01,0.82,-1.37,-1.61,0.33
-0.5,0.01,0.83,-1.78,-1.41,0.61
-0.51,-0.0,0.83,-2.31,-1.33,0.98
-0.51,-0.0,0.83,-2.31,-1.33,0.98
-0.52,-0.02,0.83,-2.87,-1.43,1.29
-0.53,-0.04,0.82,-3.31,-1.73,1.52
-0.53,-0.06,0.82,-3.58,-2.19,1.73
-0.53,-0.07,0.83,-3.76,-2.84,1.94
-0.53,-0.09,0.82,-3.89,-3.64,2.13
-0.53,-0.09,0.82,-3.89,-3.64,2.13
-0.53,-0.11,0.81,-4.06,-4.53,2.29
