ax,ay,az,gx,gy,gz
-0.07,-0.05,1.01,6.08,5.02,1.8
-0.07,-0.05,1.01,6.08,5.02,1.8
-0.07,-0.06,1.01,5.16,3.96,1.33
-0.06,-0.06,1.01,4.19,2.82,0.79
-0.06,-0.07,1.0,3.28,1.68,0.19
-0.05,-0.06,1.0,2.53,0.62,-0.43
-0.04,-0.06,1.0,1.88,-0.29,-0.98
-0.04,-0.06,1.0,1.88,-0.29,-0.98
-0.03,-0.05,0.99,1.32,-0.9,-1.41
-0.02,-0.06,0.98,0.86,-1.06,-1.73
-0.01,-0.07,0.98,0.51,-0.96,-1.89
-0.01,-0.08,0.97,0.3,-0.6,-1.87
-0.02,-0.08,0.97,0.38,-0.02,-1.67
-0.02,-0.08,0.97,0.38,-0.02,-1.67
-0.04,-0.08,0.98,0.73,0.67,-1.35
-0.05,-0.08,0.98,1.18,1.28,-1.16
-0.05,-0.08,0.98,1.67,1.7,-1.15
-0.05,-0.06,0.99,2.09,1.91,-1.19
-0.04,-0.05,1.0,2.3,2.04,-1.17
-0.04,-0.05,1.0,2.3,2.04,-1.17
-0.04,-0.05,1.0,2.22,2.13,-1.15
-0.05,-0.05,1.0,1.83,2.18,-1.11
-0.05,-0.05,0.99,1.19,2.15,-1.06
-0.05,-0.05,0.99,0.4,2.04,-0.99
-0.04,-0.05,0.98,-0.45,1.93,-0.94
-0.04,-0.05,0.98,-0.45,1.93,-0.94
-0.03,-0.07,0.98,-1.32,1.87,-0.91
-0.03,-0.08,0.98,-2.12,1.92,-0.83
-0.03,-0.09,0.97,-2.71,2.05,-0.74
-0.04,-0.1,0.97,-2.97,2.24,-0.65
-0.05,-0.09,0.97,-2.9,2.4,-0.64
-0.05,-0.09,0.97,-2.9,2.4,-0.64
-0.05,-0.08,0.98,-2.64,2.53,-0.65
-0.05,-0.06,0.99,-2.38,2.59,-0.69
-0.05,-0.06,1.0,-2.28,2.6,-0.72
-0.05,-0.05,1.0,-2.45,2.6,-0.63
-0.06,-0.05,1.0,-2.93,2.53,-0.41
