ax,ay,az,gx,gy,gz
-0.07,0.23,1.0,3.15,2.88,3.19
-0.08,0.23,1.01,2.72,2.87,2.94
-0.07,0.23,1.01,1.56,2.65,2.59
-0.07,0.23,1.01,1.56,2.65,2.59
-0.07,0.21,1.0,-0.16,2.24,2.21
-0.06,0.18,1.0,-2.1,1.7,1.86
-0.05,0.15,0.98,-3.86,1.16,1.6
-0.04,0.13,0.97,-5.13,0.71,1.48
-0.03,0.11,0.96,-5.7,0.37,1.54
-0.03,0.11,0.96,-5.7,0.37,1.54
-0.03,0.1,0.96,-5.53,0.16,1.71
-0.02,0.1,0.96,-4.71,0.11,2.01
-0.03,0.12,0.96,-3.39,0.24,2.4
-0.03,0.13,0.97,-1.84,0.58,2.76
-0.04,0.15,0.97,-0.27,1.06,3.1
-0.04,0.15,0.97,-0.27,1.06,3.1
-0.05,0.17,0.98,1.08,1.54,3.32
-0.06,0.19,0.99,2.03,1.88,3.43
-0.07,0.21,0.99,2.37,1.95,3.43
-0.07,0.21,1.0,2.05,1.69,3.27
-0.07,0.21,1.0,1.11,1.18,2.98
-0.07,0.21,1.0,1.11,1.18,2.98
-0.07,0.2,0.99,-0.21,0.54,2.65
-0.06,0.18,0.99,-1.69,-0.12,2.31
-0.06,0.16,0.99,-3.05,-0.7,1.99
-0.05,0.14,0.98,-4.1,-1.12,1.74
-0.04,0.13,0.97,-4.71,-1.37,1.6
-0.04,0.13,0.97,-4.71,-1.37,1.6
-0.04,0.12,0.96,-4.81,-1.48,1.59
-0.03,0.12,0.96,-4.42,-1.46,1.73
-0.03,0.13,0.96,-3.58,-1.29,1.97
-0.03,0.14,0.97,-2.48,-0.99,2.28
-0.04,0.15,0.97,-1.3,-0.66,2.61
-0.04,0.15,0.97,-1.3,-0.66,2.61
-0.04,0.17,0.97,-0.2,-0.36,2.92
-0.05,0.18,0.98,0.6,-0.19,3.11
-0.05,0.19,0.98,0.94,-0.19,3.23
-0.04,0.19,0.98,0.78,-0.32,3.25
-0.04,0.18,0.98,0.24,-0.55,3.21
-0.04,0.18,0.98,0.24,-0.55,3.21
-0.03,0.17,0.97,-0.45,-0.78,3.15
-0.03,0.16,0.97,-1.09,-0.96,3.08
-0.04,0.15,0.97,-1.59,-1.11,2.96
-0.04,0.15,0.96,-1.92,-1.27,2.78
-0.04,0.16,0.96,-2.09,-1.41,2.6
-0.04,0.16,0.96,-2.09,-1.41,2.6
-0.03,0.16,0.96,-2.16,-1.52,2.43
-0.03,0.16,0.96,-2.19,-1.5,2.34
-0.02,0.16,0.96,-2.23,-1.32,2.33
-0.02,0.15,0.97,-2.24,-0.98,2.38
-0.02,0.15,0.96,-2.17,-0.43,2.5
-0.02,0.15,0.96,-2.17,-0.43,2.5
-0.03,0.14,0.96,-1.94,0.2,2.7
-0.04,0.13,0.96,-1.55,0.83,2.97
-0.05,0.13,0.96,-0.95,1.39,3.27
-0.06,0.14,0.97,-0.13,1.8,3.52
-0.06,0.16,0.98,0.79,2.03,3.67
-0.06,0.16,0.98,0.79,2.03,3.67
-0.06,0.17,0.98,1.6,2.01,3.74
-0.06,0.19,0.99,2.08,1.75,3.71
-0.06,0.2,1.0,2.05,1.27,3.56
-0.06,0.2,1.0,1.45,0.58,3.33
-0.05,0.19,0.99,0.42,-0.25,3.02
-0.05,0.19,0.99,0.42,-0.25,3.02
-0.04,0.17,0.99,-0.85,-1.06,2.66
-0.03,0.16,0.98,-2.15,-1.79,2.29
-0.02,0.14,0.97,-3.28,-2.31,1.95
-0.02,0.12,0.96,-4.05,-2.55,1.68
-0.01,0.11,0.95,-4.32,-2.51,1.54
-0.01,0.11,0.95,-4.32,-2.51,1.54
-0.01,0.11,0.96,-4.07,-2.14,1.53
-0.01,0.12,0.95,-3.33,-1.49,1.66
-0.03,0.13,0.96,-2.26,-0.69,1.85
-0.04,0.14,0.96,-1.03,0.15,2.07
-0.06,0.17,0.97,0.18,0.81,2.28
-0.06,0.17,0.97,0.18,0.81,2.28
-0.06,0.19,0.98,1.15,1.25,2.36
-0.07,0.2,0.99,1.66,1.42,2.31
-0.07,0.21,1.0,1.55,1.3,2.21
-0.08,0.21,0.99,0.81,0.93,2.02
-0.07,0.2,0.99,-0.43,0.36,1.74
-0.07,0.2,0.99,-0.43,0.36,1.74
-0.06,0.17,0.98,-1.91,-0.36,1.43
-0.05,0.15,0.98,-3.26,-1.14,1.15
-0.04,0.13,0.96,-4.23,-1.83,0.99
-0.03,0.11,0.96,-4.68,-2.31,0.94
-0.02,0.11,0.95,-4.54,-2.51,1.03
-0.02,0.11,0.95,-4.54,-2.51,1.03
-0.02,0.11,0.95,-3.85,-2.48,1.2
-0.02,0.12,0.95,-2.72,-2.28,1.43
-0.02,0.14,0.95,-1.38,-1.95,1.74
-0.02,0.16,0.96,-0.11,-1.51,2.04
-0.03,0.17,0.96,0.88,-1.06,2.27
-0.03,0.17,0.96,0.88,-1.06,2.27
-0.03,0.18,0.96,1.45,-0.67,2.4
-0.03,0.18,0.96,1.59,-0.34,2.43
-0.03,0.18,0.96,1.34,-0.12,2.36
-0.04,0.18,0.96,0.74,0.03,2.19
-0.04,0.18,0.96,-0.07,0.19,1.9
-0.04,0.18,0.96,-0.07,0.19,1.9
-0.03,0.17,0.96,-0.97,0.3,1.52
-0.02,0.16,0.96,-1.85,0.36,1.15
-0.03,0.15,0.96,-2.55,0.42,0.85
-0.03,0.15,0.95,-3.01,0.54,0.56
-0.03,0.15,0.96,-3.21,0.65,0.29
-0.03,0.15,0.96,-3.21,0.65,0.29
-0.02,0.15,0.96,-3.23,0.74,0.17
-0.02,0.15,0.97,-3.09,0.84,0.2
-0.03,0.15,0.97,-2.75,1.0,0.34
-0.04,0.15,0.97,-2.22,1.2,0.55
-0.04,0.15,0.98,-1.59,1.44,0.79
-0.04,0.15,0.98,-1.59,1.44,0.79
-0.05,0.17,0.99,-0.89,1.77,1.01
-0.05,0.18,1.0,-0.27,2.13,1.21
-0.06,0.19,1.0,0.12,2.54,1.37
-0.07,0.19,1.01,0.19,2.94,1.46
-0.07,0.18,1.01,-0.06,3.27,1.51
-0.07,0.18,1.01,-0.06,3.27,1.51
-0.07,0.18,1.01,-0.59,3.48,1.54
-0.07,0.16,1.0,-1.22,3.46,1.6
-0.08,0.15,0.99,-1.73,3.2,1.66
-0.08,0.15,0.99,-1.98,2.71,1.73
-0.07,0.15,0.99,-1.91,1.98,1.79
-0.07,0.15,0.99,-1.91,1.98,1.79
-0.06,0.15,0.99,-1.68,1.16,1.86
-0.06,0.16,1.0,-1.4,0.3,1.92
-0.05,0.17,0.99,-1.15,-0.51,2.0
-0.06,0.17,1.0,-1.01,-1.28,2.04
-0.06,0.18,0.99,-1.0,-1.93,2.06
-0.06,0.18,0.99,-1.0,-1.93,2.06
-0.05,0.18,0.99,-1.17,-2.45,1.99
-0.05,0.19,0.99,-1.58,-2.75,1.82
-0.04,0.18,0.99,-2.2,-2.75,1.63
-0.03,0.17,0.98,-2.97,-2.52,1.49
-0.04,0.16,0.97,-3.71,-2.12,1.42
-0.04,0.16,0.97,-3.71,-2.12,1.42
-0.04,0.15,0.96,-4.26,-1.65,1.4
-0.04,0.14,0.95,-4.47,-1.25,1.5
-0.04,0.13,0.94,-4.21,-0.97,1.71
-0.04,0.14,0.94,-3.5,-0.83,2.02
-0.04,0.15,0.95,-2.52,-0.84,2.4
-0.04,0.15,0.95,-2.52,-0.84,2.4
-0.04,0.16,0.96,-1.55,-0.99,2.91
-0.04,0.17,0.96,-0.76,-1.25,3.45
-0.04,0.17,0.97,-0.24,-1.58,3.86
-0.04,0.17,0.97,0.03,-1.93,4.09
-0.04,0.18,0.97,0.02,-2.24,4.15
-0.04,0.18,0.97,0.02,-2.24,4.15
-0.04,0.18,0.97,-0.37,-2.44,4.02
-0.03,0.17,0.97,-1.08,-2.44,3.75
-0.02,0.16,0.97,-2.01,-2.2,3.42
-0.02,0.14,0.96,-2.95,-1.7,3.11
-0.02,0.12,0.95,-3.71,-1.02,2.8
