ax,ay,az,gx,gy,gz
-0.19,-0.27,0.88,-38.63,146.73,13.52
-0.19,-0.27,0.88,-38.63,146.73,13.52
-0.26,-0.22,0.9,-34.03,142.19,18.51
-0.31,-0.19,0.92,-29.68,135.23,24.16
-0.34,-0.18,0.93,-25.79,126.37,29.52
-0.33,-0.2,0.92,-22.16,116.47,33.55
-0.29,-0.23,0.91,-18.51,106.6,35.98
-0.29,-0.23,0.91,-18.51,106.6,35.98
-0.25,-0.25,0.89,-14.71,97.33,37.49
-0.22,-0.25,0.89,-10.47,88.91,38.53
-0.22,-0.23,0.89,-5.83,81.62,38.97
-0.22,-0.18,0.91,-1.33,75.92,38.45
-0.21,-0.14,0.93,2.45,72.34,36.54
-0.21,-0.14,0.93,2.45,72.34,36.54
-0.19,-0.13,0.92,5.18,71.28,33.29
-0.18,-0.12,0.91,7.08,72.25,29.5
-0.17,-0.11,0.9,8.28,74.58,26.12
-0.2,-0.1,0.91,8.75,77.59,23.74
-0.24,-0.09,0.91,8.57,80.55,22.43
-0.24,-0.09,0.91,8.57,80.55,22.43
-0.31,-0.08,0.91,7.81,82.5,22.11
-0.39,-0.07,0.9,6.65,82.43,22.56
-0.45,-0.07,0.9,5.36,79.74,23.49
-0.5,-0.07,0.91,4.11,74.15,24.58
-0.53,-0.04,0.92,3.02,65.66,25.36
-0.53,-0.04,0.92,3.02,65.66,25.36
-0.52,0.01,0.94,1.86,54.9,25.4
-0.46,0.04,0.97,0.22,43.15,24.47
-0.37,0.05,0.97,-2.49,32.04,22.64
-0.28,0.05,0.95,-6.41,23.14,20.31
-0.21,0.04,0.92,-11.21,17.51,18.1
-0.21,0.04,0.92,-11.21,17.51,18.1
-0.16,0.01,0.9,-16.61,15.46,16.18
-0.13,-0.03,0.87,-22.4,16.92,14.42
-0.13,-0.09,0.82,-28.12,21.56,12.99
-0.17,-0.15,0.78,-32.94,28.55,11.98
-0.2,-0.21,0.73,-36.2,36.72,11.17
-0.2,-0.21,0.73,-36.2,36.72,11.17
-0.24,-0.25,0.7,-37.37,45.35,10.37
-0.27,-0.3,0.67,-35.94,54.37,8.96
-0.29,-0.33,0.64,-31.51,63.82,6.76
-0.32,-0.3,0.64,-24.23,73.24,4.62
-0.4,-0.19,0.7,-14.75,81.46,3.21
-0.4,-0.19,0.7,-14.75,81.46,3.21
-0.5,-0.06,0.79,-4.94,87.6,1.85
-0.55,0.03,0.88,2.98,91.05,-0.54
-0.56,0.07,0.91,7.68,92.05,-3.96
-0.55,0.12,0.92,8.92,90.98,-7.99
-0.55,0.12,0.92,7.29,88.21,-12.66
-0.54,0.16,0.94,7.29,88.21,-12.66
-0.51,0.18,0.94,3.08,84.48,-18.01
-0.46,0.18,0.92,-3.71,80.47,-23.52
-0.4,0.15,0.9,-12.94,76.69,-28.51
-0.35,0.08,0.87,-24.08,73.69,-32.85
-0.35,0.08,0.87,-36.13,71.82,-36.19
-0.32,-0.01,0.82,-36.13,71.82,-36.19
-0.32,-0.12,0.75,-47.83,70.93,-38.2
-0.31,-0.24,0.7,-57.88,70.81,-38.91
-0.31,-0.37,0.64,-65.01,71.67,-38.46
-0.32,-0.47,0.59,-68.23,73.42,-36.75
-0.32,-0.47,0.59,-68.23,73.42,-36.75
-0.35,-0.51,0.56,-66.95,75.18,-33.54
-0.41,-0.51,0.57,-61.21,76.38,-29.02
-0.46,-0.46,0.6,-51.81,76.54,-23.42
-0.52,-0.39,0.67,-40.14,75.18,-16.86
