ax,ay,az,gx,gy,gz
-0.01,0.0,1.01,0.62,0.86,0.32
-0.01,0.0,1.01,0.62,0.86,0.32
-0.01,-0.0,1.01,0.04,0.67,0.32
-0.02,-0.01,1.01,-0.5,0.39,0.32
-0.01,-0.02,1.0,-0.94,0.07,0.32
-0.01,-0.02,1.0,-1.21,-0.25,0.39
-0.0,-0.03,1.0,-1.28,-0.56,0.48
-0.0,-0.03,1.0,-1.28,-0.56,0.48
-0.0,-0.03,1.0,-1.15,-0.82,0.55
-0.0,-0.03,1.0,-0.87,-0.97,0.61
0.0,-0.02,0.99,-0.48,-1.02,0.67
0.0,-0.02,0.99,-0.06,-1.01,0.76
0.0,-0.01,0.99,0.37,-0.92,0.84
0.0,-0.01,0.99,0.37,-0.92,0.84
0.0,-0.01,0.99,0.8,-0.76,0.89
-0.0,-0.01,0.99,1.16,-0.57,0.91
-0.01,-0.01,0.99,1.45,-0.37,0.93
-0.01,-0.0,0.99,1.68,-0.21,0.93
-0.01,0.0,1.0,1.81,-0.07,0.89
-0.01,0.0,1.0,1.81,-0.07,0.89
-0.01,0.01,1.0,1.75,-0.04,0.86
-0.01,0.01,1.0,1.46,-0.08,0.8
-0.01,0.0,1.0,1.0,-0.18,0.82
-0.01,-0.0,1.0,0.43,-0.3,0.86
-0.01,-0.01,1.0,-0.15,-0.43,0.91
-0.01,-0.01,1.0,-0.15,-0.43,0.91
-0.01,-0.02,0.99,-0.63,-0.55,0.97
-0.01,-0.03,0.98,-0.95,-0.69,1.01
-0.0,-0.03,0.99,-1.04,-0.79,1.04
0.0,-0.03,0.99,-0.94,-0.85,1.11
0.0,-0.04,0.99,-0.72,-0.82,1.2
0.0,-0.04,0.99,-0.72,-0.82,1.2
-0.0,-0.04,0.99,-0.39,-0.71,1.25
-0.0,-0.04,0.99,0.07,-0.53,1.24
-0.01,-0.03,0.99,0.56,-0.33,1.15
-0.01,-0.01,1.0,0.99,-0.12,1.0
-0.01,-0.01,1.0,1.23,0.06,0.82
-0.01,-0.01,1.0,1.23,0.06,0.82
-0.01,-0.0,1.01,1.24,0.17,0.61
-0.01,-0.0,1.0,1.02,0.21,0.42
-0.01,-0.01,1.0,0.65,0.17,0.26
-0.01,-0.02,1.0,0.24,0.11,0.14
-0.0,-0.02,1.0,-0.13,0.06,0.05
-0.0,-0.02,1.0,-0.13,0.06,0.05
-0.0,-0.03,0.99,-0.37,0.08,-0.0
0.0,-0.03,0.99,-0.46,0.15,-0.06
0.0,-0.03,0.99,-0.38,0.29,-0.09
0.0,-0.03,1.0,-0.16,0.49,-0.09
-0.0,-0.02,1.0,0.15,0.72,-0.07
-0.0,-0.02,1.0,0.15,0.72,-0.07
-0.0,-0.02,1.0,0.46,0.95,-0.03
-0.01,-0.01,1.01,0.68,1.13,0.02
-0.01,-0.01,1.01,0.81,1.26,0.03
-0.01,-0.0,1.02,0.81,1.34,0.02
-0.0,-0.0,1.02,0.63,1.4,-0.03
-0.0,-0.0,1.02,0.63,1.4,-0.03
-0.01,-0.0,1.02,0.31,1.44,-0.09
-0.01,-0.0,1.02,-0.1,1.43,-0.13
-0.01,-0.0,1.02,-0.59,1.35,-0.17
-0.02,-0.01,1.02,-1.07,1.15,-0.21
-0.02,-0.02,1.02,-1.48,0.85,-0.21
-0.02,-0.02,1.02,-1.48,0.85,-0.21
-0.02,-0.03,1.01,-1.74,0.49,-0.2
-0.01,-0.03,1.01,-1.85,0.03,-0.16
-0.01,-0.03,1.01,-1.77,-0.37,-0.12
-0.01,-0.03,1.01,-1.51,-0.74,-0.11
-0.0,-0.03,1.01,-1.12,-1.04,-0.13
-0.0,-0.03,1.01,-1.12,-1.04,-0.13
-0.01,-0.02,1.01,-0.63,-1.23,-0.15
-0.01,-0.02,1.01,-0.14,-1.34,-0.16
-0.01,-0.01,1.0,0.29,-1.37,-0.2
-0.01,-0.0,1.0,0.59,-1.38,-0.27
-0.01,-0.0,1.0,0.78,-1.39,-0.34
-0.01,-0.0,1.0,0.78,-1.39,-0.34
-0.01,0.0,1.0,0.82,-1.44,-0.39
-0.01,-0.0,1.0,0.79,-1.56,-0.42
-0.01,-0.0,1.0,0.67,-1.68,-0.44
-0.01,-0.0,0.99,0.51,-1.81,-0.45
-0.0,-0.0,0.99,0.36,-1.87,-0.44
-0.0,-0.0,0.99,0.36,-1.87,-0.44
-0.0,-0.01,0.99,0.24,-1.89,-0.44
-0.0,-0.01,0.98,0.19,-1.77,-0.42
-0.0,-0.01,0.98,0.18,-1.66,-0.35
0.0,-0.01,0.98,0.22,-1.53,-0.28
0.0,-0.01,0.98,0.31,-1.4,-0.16
0.0,-0.01,0.98,0.31,-1.4,-0.16
0.0,-0.01,0.98,0.41,-1.26,-0.03
0.0,-0.01,0.98,0.52,-1.11,0.1
-0.0,-0.01,0.98,0.62,-0.97,0.23
-0.01,-0.0,0.99,0.7,-0.84,0.33
-0.01,-0.0,1.0,0.66,-0.71,0.36
-0.01,-0.0,1.0,0.66,-0.71,0.36
-0.0,-0.0,1.0,0.51,-0.58,0.42
-0.0,-0.01,0.99,0.27,-0.41,0.46
-0.01,-0.01,0.99,0.02,-0.23,0.51
-0.01,-0.02,0.99,-0.2,-0.08,0.55
-0.01,-0.02,0.99,-0.33,0.08,0.57
-0.01,-0.02,0.99,-0.33,0.08,0.57
-0.01,-0.03,0.99,-0.34,0.2,0.58
-0.01,-0.03,0.99,-0.23,0.3,0.56
-0.01,-0.02,0.99,-0.04,0.38,0.5
-0.01,-0.02,1.0,0.21,0.48,0.41
-0.0,-0.01,1.0,0.45,0.54,0.3
-0.0,-0.01,1.0,0.45,0.54,0.3
-0.0,-0.01,1.0,0.59,0.56,0.21
-0.0,-0.01,1.0,0.62,0.56,0.15
-0.01,-0.01,1.0,0.53,0.53,0.13
-0.01,-0.01,1.0,0.36,0.48,0.09
-0.01,-0.01,1.0,0.2,0.4,0.06
-0.01,-0.01,1.0,0.2,0.4,0.06
-0.01,-0.01,1.0,0.05,0.29,0.03
-0.01,-0.01,1.0,-0.06,0.14,0.02
-0.01,-0.02,1.0,-0.14,0.03,0.03
-0.01,-0.02,1.0,-0.12,-0.05,0.06
-0.01,-0.01,1.0,-0.03,-0.08,0.06
-0.01,-0.01,1.0,-0.03,-0.08,0.06
-0.01,-0.01,1.0,0.14,-0.13,0.03
-0.01,-0.01,1.0,0.33,-0.15,-0.04
-0.0,-0.01,1.0,0.48,-0.15,-0.14
-0.0,-0.0,1.01,0.55,-0.12,-0.2
-0.01,-0.01,1.0,0.54,-0.08,-0.21
-0.01,-0.01,1.0,0.54,-0.08,-0.21
-0.01,-0.01,1.0,0.47,-0.05,-0.23
-0.01,-0.01,1.0,0.37,-0.05,-0.23
-0.01,-0.01,1.0,0.27,-0.09,-0.22
-0.01,-0.01,1.0,0.17,-0.2,-0.19
-0.01,-0.01,1.0,0.11,-0.37,-0.13
-0.01,-0.01,1.0,0.11,-0.37,-0.13
-0.01,-0.01,1.0,0.07,-0.57,-0.05
-0.0,-0.01,1.0,0.05,-0.73,0.03
-0.0,-0.01,0.99,0.11,-0.85,0.1
0.0,-0.01,0.99,0.26,-0.88,0.12
0.0,-0.01,1.0,0.45,-0.83,0.13
0.0,-0.01,1.0,0.45,-0.83,0.13
0.0,-0.01,1.0,0.64,-0.74,0.17
-0.0,-0.01,1.01,0.76,-0.6,0.25
-0.01,-0.01,1.01,0.81,-0.44,0.33
-0.01,-0.01,1.0,0.78,-0.26,0.36
-0.01,-0.01,1.0,0.75,-0.12,0.37
-0.01,-0.01,1.0,0.75,-0.12,0.37
-0.01,-0.01,1.0,0.69,-0.05,0.34
-0.01,-0.01,1.0,0.62,-0.03,0.29
-0.01,-0.01,1.0,0.53,-0.05,0.26
