ax,ay,az,gx,gy,gz
-0.05,0.8,0.5,-2.19,-0.52,-0.76
-0.05,0.8,0.5,-2.58,-0.19,-0.96
-0.06,0.8,0.5,-2.73,0.12,-1.22
-0.07,0.8,0.5,-2.67,0.39,-1.54
-0.08,0.8,0.5,-2.45,0.57,-1.91
-0.08,0.81,0.5,-2.14,0.61,-2.25
-0.08,0.81,0.5,-2.14,0.61,-2.25
-0.07,0.82,0.5,-1.7,0.53,-2.51
-0.06,0.82,0.51,-1.27,0.38,-2.65
-0.06,0.83,0.51,-0.91,0.19,-2.7
-0.06,0.84,0.51,-0.66,0.02,-2.67
-0.06,0.84,0.52,-0.58,-0.14,-2.63
-0.06,0.84,0.52,-0.58,-0.14,-2.63
-0.06,0.84,0.52,-0.63,-0.26,-2.57
-0.06,0.84,0.53,-0.8,-0.38,-2.53
-0.06,0.84,0.53,-1.04,-0.44,-2.48
-0.06,0.84,0.53,-1.28,-0.41,-2.41
-0.06,0.83,0.54,-1.42,-0.33,-2.34
-0.06,0.83,0.54,-1.42,-0.33,-2.34
-0.07,0.83,0.54,-1.47,-0.24,-2.29
-0.07,0.83,0.53,-1.41,-0.17,-2.28
-0.07,0.83,0.53,-1.31,-0.14,-2.3
-0.06,0.83,0.53,-1.28,-0.17,-2.4
-0.06,0.83,0.53,-1.32,-0.2,-2.55
-0.06,0.83,0.53,-1.32,-0.2,-2.55
-0.06,0.82,0.53,-1.41,-0.2,-2.71
-0.05,0.82,0.52,-1.5,-0.23,-2.92
-0.05,0.82,0.52,-1.54,-0.36,-3.07
-0.05,0.82,0.52,-1.55,-0.55,-3.12
-0.05,0.82,0.52,-1.53,-0.72,-3.06
-0.05,0.82,0.52,-1.53,-0.72,-3.06
-0.05,0.82,0.53,-1.53,-0.94,-2.99
-0.05,0.83,0.52,-1.53,-1.2,-2.92
-0.05,0.82,0.53,-1.56,-1.49,-2.81
-0.06,0.82,0.53,-1.65,-1.89,-2.67
-0.06,0.82,0.52,-1.75,-2.32,-2.54
-0.06,0.82,0.52,-1.75,-2.32,-2.54
-0.06,0.82,0.52,-1.85,-2.71,-2.47
-0.06,0.81,0.51,-1.85,-3.04,-2.47
-0.05,0.81,0.51,-1.76,-3.3,-2.51
-0.05,0.81,0.51,-1.6,-3.43,-2.57
-0.05,0.82,0.51,-1.38,-3.36,-2.71
-0.05,0.82,0.51,-1.38,-3.36,-2.71
-0.05,0.82,0.51,-1.15,-3.14,-3.02
-0.05,0.82,0.51,-0.95,-2.78,-3.4
-0.05,0.82,0.51,-0.79,-2.36,-3.74
-0.06,0.82,0.51,-0.7,-1.95,-4.02
-0.06,0.83,0.51,-0.63,-1.65,-4.21
-0.06,0.83,0.51,-0.63,-1.65,-4.21
-0.07,0.83,0.51,-0.53,-1.55,-4.33
-0.07,0.83,0.51,-0.47,-1.67,-4.33
-0.06,0.84,0.51,-0.51,-1.94,-4.26
-0.06,0.83,0.51,-0.68,-2.33,-4.15
-0.05,0.83,0.5,-0.99,-2.72,-4.02
-0.05,0.83,0.5,-0.99,-2.72,-4.02
-0.05,0.83,0.5,-1.37,-3.1,-3.89
-0.05,0.83,0.5,-1.74,-3.34,-3.79
-0.04,0.83,0.5,-2.12,-3.38,-3.83
-0.04,0.83,0.5,-2.5,-3.2,-3.89
-0.04,0.82,0.49,-2.87,-2.83,-3.98
-0.04,0.82,0.49,-2.87,-2.83,-3.98
-0.04,0.82,0.49,-3.09,-2.44,-4.05
-0.05,0.81,0.5,-3.03,-2.01,-4.13
-0.06,0.82,0.5,-2.68,-1.62,-4.16
-0.06,0.83,0.5,-2.14,-1.26,-4.16
-0.06,0.84,0.51,-1.63,-0.95,-4.23
-0.06,0.84,0.51,-1.63,-0.95,-4.23
-0.05,0.84,0.51,-1.31,-0.74,-4.29
-0.06,0.84,0.51,-1.2,-0.55,-4.25
-0.06,0.84,0.51,-1.27,-0.37,-4.15
-0.06,0.84,0.51,-1.42,-0.25,-4.01
-0.06,0.84,0.51,-1.64,-0.22,-3.84
-0.06,0.84,0.51,-1.64,-0.22,-3.84
-0.06,0.83,0.51,-1.93,-0.33,-3.63
-0.05,0.83,0.51,-2.24,-0.51,-3.38
-0.05,0.82,0.51,-2.51,-0.72,-3.12
-0.04,0.81,0.51,-2.62,-0.95,-2.89
