ax,ay,az,gx,gy,gz
-0.05,0.1,0.99,1.43,-6.83,1.73
-0.05,0.1,0.99,1.43,-6.83,1.73
-0.04,0.09,0.98,0.43,-6.68,1.63
-0.04,0.08,0.98,-0.3,-6.4,1.62
-0.04,0.08,0.97,-0.64,-6.01,1.67
-0.05,0.08,0.97,-0.6,-5.57,1.8
-0.05,0.09,0.97,-0.25,-5.22,2.01
-0.05,0.09,0.97,-0.25,-5.22,2.01
-0.05,0.1,0.97,0.31,-5.0,2.31
-0.05,0.1,0.98,0.94,-4.91,2.66
-0.05,0.11,0.99,1.51,-4.94,3.02
-0.05,0.11,1.0,1.93,-4.99,3.32
-0.05,0.12,1.01,2.08,-5.0,3.56
-0.05,0.12,1.01,2.08,-5.0,3.56
-0.05,0.12,1.01,1.94,-4.96,3.81
-0.05,0.12,1.01,1.51,-4.88,3.97
-0.05,0.11,1.01,0.81,-4.78,4.06
-0.05,0.11,1.01,-0.1,-4.64,4.11
-0.04,0.1,1.0,-1.08,-4.36,4.06
-0.04,0.1,1.0,-1.08,-4.36,4.06
-0.03,0.09,0.99,-2.02,-3.9,3.96
-0.03,0.08,0.98,-2.82,-3.25,3.85
-0.04,0.07,0.98,-3.36,-2.49,3.79
-0.04,0.07,0.98,-3.58,-1.72,3.75
-0.04,0.07,0.98,-3.5,-0.97,3.74
-0.04,0.07,0.98,-3.5,-0.97,3.74
-0.05,0.07,0.98,-3.21,-0.3,3.79
-0.06,0.07,0.99,-2.82,0.18,3.9
-0.06,0.08,0.99,-2.36,0.42,4.02
-0.06,0.08,0.98,-1.86,0.39,4.2
-0.06,0.08,0.99,-1.32,0.03,4.38
-0.06,0.08,0.99,-1.32,0.03,4.38
-0.06,0.09,1.0,-0.84,-0.58,4.55
-0.06,0.1,1.0,-0.48,-1.32,4.69
-0.06,0.1,1.0,-0.28,-2.09,4.74
-0.06,0.1,1.0,-0.32,-2.83,4.67
-0.06,0.11,1.0,-0.62,-3.55,4.5
-0.06,0.11,1.0,-0.62,-3.55,4.5
-0.06,0.1,1.0,-1.15,-4.23,4.27
-0.05,0.1,1.0,-1.87,-4.78,4.02
-0.04,0.09,0.99,-2.7,-5.12,3.77
-0.04,0.08,0.98,-3.51,-5.19,3.55
-0.04,0.06,0.97,-4.14,-5.0,3.38
-0.04,0.06,0.97,-4.14,-5.0,3.38
-0.04,0.06,0.97,-4.4,-4.58,3.18
-0.05,0.06,0.96,-4.2,-3.99,2.93
-0.05,0.07,0.96,-3.6,-3.34,2.69
-0.06,0.08,0.97,-2.79,-2.8,2.48
-0.06,0.09,0.97,-2.0,-2.33,2.31
-0.06,0.09,0.97,-2.0,-2.33,2.31
-0.05,0.1,0.97,-1.35,-1.99,2.15
-0.05,0.1,0.97,-0.89,-1.78,2.06
-0.06,0.11,0.97,-0.62,-1.71,2.08
-0.06,0.11,0.97,-0.51,-1.79,2.19
-0.06,0.11,0.97,-0.55,-1.96,2.32
-0.06,0.11,0.97,-0.55,-1.96,2.32
-0.05,0.11,0.97,-0.7,-2.2,2.41
-0.05,0.1,0.97,-0.95,-2.37,2.48
-0.05,0.1,0.97,-1.3,-2.36,2.49
-0.05,0.1,0.97,-1.72,-2.16,2.43
-0.05,0.09,0.97,-2.09,-1.87,2.33
-0.05,0.09,0.97,-2.09,-1.87,2.33
-0.05,0.09,0.96,-2.39,-1.42,2.17
-0.05,0.08,0.95,-2.47,-0.91,1.98
-0.05,0.09,0.95,-2.31,-0.43,1.82
-0.05,0.09,0.95,-1.98,-0.01,1.71
-0.06,0.09,0.95,-1.49,0.22,1.7
-0.06,0.09,0.95,-1.49,0.22,1.7
-0.07,0.1,0.96,-0.89,0.11,1.79
-0.08,0.11,0.96,-0.22,-0.4,2.02
-0.08,0.12,0.97,0.36,-1.33,2.37
-0.09,0.13,0.98,0.84,-2.58,2.72
-0.09,0.13,0.99,1.11,-4.1,2.98
-0.09,0.13,0.99,1.11,-4.1,2.98
-0.08,0.14,1.0,1.13,-5.79,3.08
-0.07,0.14,1.0,0.78,-7.54,3.03
-0.04,0.14,1.01,0.07,-9.15,2.85
-0.02,0.14,1.01,-1.0,-10.3,2.53
