ax,ay,az,gx,gy,gz
-0.49,0.09,0.81,-1.01,3.88,-6.37
-0.49,0.09,0.8,-1.49,4.27,-6.82
-0.5,0.08,0.81,-2.04,4.72,-7.27
-0.5,0.08,0.8,-2.61,5.12,-7.66
-0.5,0.08,0.8,-3.15,5.44,-8.01
-0.5,0.08,0.8,-3.15,5.44,-8.01
-0.49,0.07,0.8,-3.57,5.65,-8.24
-0.49,0.07,0.79,-3.8,5.68,-8.31
-0.49,0.07,0.79,-3.82,5.57,-8.2
-0.48,0.07,0.79,-3.67,5.27,-7.92
-0.48,0.07,0.79,-3.36,4.85,-7.48
-0.48,0.07,0.79,-3.36,4.85,-7.48
-0.48,0.08,0.79,-2.92,4.33,-6.95
-0.48,0.08,0.79,-2.49,3.8,-6.4
-0.47,0.08,0.8,-2.06,3.36,-5.84
-0.47,0.08,0.79,-1.65,3.09,-5.29
-0.46,0.07,0.8,-1.27,3.02,-4.83
-0.46,0.07,0.8,-1.27,3.02,-4.83
-0.46,0.08,0.8,-0.87,3.2,-4.44
-0.46,0.08,0.8,-0.45,3.53,-4.15
-0.46,0.08,0.81,-0.11,3.99,-3.93
-0.48,0.07,0.81,0.15,4.45,-3.73
-0.49,0.08,0.81,0.41,4.76,-3.49
-0.49,0.08,0.81,0.41,4.76,-3.49
-0.51,0.08,0.81,0.72,4.92,-3.3
-0.52,0.09,0.82,1.07,4.8,-3.25
-0.53,0.09,0.83,1.42,4.45,-3.33
-0.53,0.11,0.84,1.69,3.84,-3.34
-0.54,0.12,0.84,1.74,3.03,-3.26
-0.54,0.12,0.84,1.74,3.03,-3.26
-0.54,0.13,0.85,1.48,2.08,-3.2
-0.54,0.12,0.85,0.91,1.13,-3.16
-0.53,0.11,0.84,0.2,0.29,-3.15
-0.52,0.1,0.84,-0.43,-0.36,-3.09
-0.51,0.1,0.83,-0.93,-0.83,-2.96
-0.51,0.1,0.83,-0.93,-0.83,-2.96
-0.5,0.09,0.83,-1.31,-1.14,-2.74
-0.5,0.07,0.82,-1.55,-1.37,-2.38
-0.49,0.06,0.82,-1.51,-1.54,-1.88
-0.49,0.05,0.81,-1.05,-1.74,-1.24
-0.5,0.05,0.81,-0.11,-1.96,-0.54
-0.5,0.05,0.81,-0.11,-1.96,-0.54
-0.5,0.05,0.81,1.31,-2.19,0.14
-0.5,0.07,0.81,3.03,-2.47,0.71
-0.5,0.08,0.83,4.82,-2.74,1.22
-0.5,0.1,0.83,6.39,-2.98,1.64
-0.5,0.12,0.84,7.49,-3.12,1.98
-0.5,0.12,0.84,7.49,-3.12,1.98
-0.5,0.12,0.84,8.0,-3.19,2.19
-0.49,0.12,0.84,7.94,-3.19,2.27
-0.49,0.12,0.84,7.46,-3.12,2.23
-0.49,0.11,0.84,6.65,-3.04,2.14
-0.48,0.1,0.83,5.67,-2.99,2.03
-0.48,0.1,0.83,5.67,-2.99,2.03
-0.47,0.09,0.82,4.62,-2.99,1.96
-0.47,0.07,0.81,3.71,-3.08,1.94
-0.47,0.06,0.81,3.08,-3.23,1.96
-0.47,0.05,0.81,2.81,-3.39,1.96
-0.47,0.05,0.81,2.88,-3.5,1.96
-0.47,0.06,0.82,2.88,-3.5,1.96
-0.46,0.06,0.82,3.15,-3.48,1.93
-0.47,0.07,0.83,3.46,-3.31,1.87
-0.47,0.08,0.84,3.72,-3.02,1.79
-0.48,0.09,0.84,3.85,-2.7,1.78
-0.48,0.09,0.84,3.85,-2.7,1.78
-0.49,0.09,0.85,3.81,-2.46,1.77
-0.49,0.09,0.84,3.52,-2.41,1.75
-0.5,0.08,0.84,3.06,-2.62,1.7
-0.5,0.08,0.83,2.63,-3.05,1.57
-0.49,0.07,0.83,2.28,-3.61,1.32
-0.49,0.07,0.83,2.28,-3.61,1.32
-0.48,0.07,0.83,2.06,-4.2,1.0
-0.47,0.07,0.83,1.94,-4.73,0.67
-0.46,0.07,0.82,1.88,-5.05,0.37
-0.46,0.07,0.82,1.82,-5.18,0.15
-0.46,0.07,0.81,1.79,-5.18,-0.03
-0.46,0.07,0.81,1.79,-5.18,-0.03
-0.45,0.06,0.8,1.87,-5.05,-0.19
-0.46,0.06,0.8,2.17,-4.85,-0.35
-0.46,0.06,0.8,2.67,-4.59,-0.55
-0.46,0.07,0.81,3.36,-4.27,-0.74
-0.46,0.08,0.81,4.05,-3.93,-0.84
-0.46,0.08,0.81,4.05,-3.93,-0.84
-0.47,0.08,0.81,4.72,-3.56,-1.0
-0.47,0.08,0.81,5.33,-3.06,-1.21
-0.47,0.08,0.82,5.85,-2.49,-1.47
-0.47,0.08,0.81,6.36,-1.86,-1.77
-0.47,0.08,0.81,6.9,-1.17,-2.09
-0.47,0.08,0.81,6.9,-1.17,-2.09
-0.48,0.08,0.81,7.49,-0.48,-2.47
-0.48,0.08,0.81,8.17,0.23,-2.9
-0.48,0.09,0.81,8.94,0.95,-3.35
-0.49,0.1,0.81,9.77,1.57,-3.79
-0.49,0.11,0.82,10.55,2.11,-4.1
-0.49,0.11,0.82,10.55,2.11,-4.1
-0.5,0.13,0.83,11.13,2.5,-4.25
-0.5,0.14,0.83,11.26,2.76,-4.28
-0.49,0.13,0.83,11.03,2.83,-4.22
-0.5,0.11,0.83,10.65,2.7,-3.96
-0.5,0.08,0.82,10.42,2.5,-3.6
-0.5,0.08,0.82,10.42,2.5,-3.6
-0.5,0.07,0.81,10.58,2.21,-3.38
-0.49,0.06,0.81,11.28,1.83,-3.28
-0.49,0.06,0.81,12.48,1.37,-3.12
-0.49,0.08,0.81,14.01,0.85,-2.9
-0.49,0.09,0.82,15.66,0.26,-2.65
-0.49,0.09,0.82,15.66,0.26,-2.65
-0.48,0.11,0.82,17.17,-0.45,-2.44
-0.48,0.13,0.82,18.4,-1.2,-2.22
-0.48,0.14,0.82,19.24,-1.91,-2.01
-0.48,0.15,0.82,19.6,-2.56,-1.85
-0.48,0.15,0.81,19.44,-3.11,-1.86
-0.48,0.15,0.81,19.44,-3.11,-1.86
-0.48,0.14,0.8,19.08,-3.71,-1.88
-0.47,0.13,0.79,18.86,-4.44,-1.74
-0.48,0.12,0.78,18.8,-5.15,-1.77
-0.47,0.11,0.78,19.03,-5.81,-2.03
-0.47,0.12,0.77,19.66,-6.49,-2.29
-0.47,0.12,0.77,19.66,-6.49,-2.29
-0.47,0.13,0.78,20.66,-7.15,-2.41
-0.47,0.15,0.78,21.76,-7.72,-2.49
-0.47,0.17,0.79,22.7,-8.22,-2.56
-0.47,0.19,0.79,23.3,-8.56,-2.57
-0.46,0.2,0.79,23.46,-8.66,-2.56
-0.46,0.2,0.79,23.46,-8.66,-2.56
-0.46,0.2,0.8,23.19,-8.42,-2.63
-0.45,0.2,0.8,22.58,-7.93,-2.63
-0.45,0.2,0.79,21.68,-7.3,-2.44
-0.46,0.2,0.8,20.54,-6.63,-2.13
-0.47,0.2,0.79,19.26,-6.05,-1.8
-0.47,0.2,0.79,19.26,-6.05,-1.8
-0.47,0.19,0.79,18.05,-5.65,-1.45
-0.48,0.19,0.79,17.11,-5.47,-1.12
-0.48,0.2,0.79,16.47,-5.4,-0.82
-0.47,0.21,0.8,16.02,-5.39,-0.55
-0.46,0.22,0.81,15.53,-5.45,-0.29
-0.46,0.22,0.81,15.53,-5.45,-0.29
-0.46,0.23,0.82,14.73,-5.49,-0.09
-0.46,0.23,0.81,13.61,-5.38,0.05
-0.46,0.22,0.81,12.22,-5.08,0.09
-0.45,0.21,0.81,10.76,-4.62,0.04
-0.44,0.2,0.81,9.42,-3.99,0.06
-0.44,0.2,0.81,9.42,-3.99,0.06
-0.44,0.19,0.81,8.29,-3.18,0.14
-0.45,0.18,0.81,7.42,-2.26,0.27
-0.45,0.18,0.81,6.75,-1.43,0.45
-0.45,0.18,0.81,6.22,-0.79,0.66
-0.45,0.18,0.82,5.76,-0.34,0.87
-0.45,0.18,0.82,5.76,-0.34,0.87
-0.45,0.18,0.82,5.34,-0.01,1.13
-0.45,0.18,0.82,4.89,0.22,1.41
-0.46,0.18,0.82,4.38,0.36,1.64
-0.46,0.17,0.82,3.85,0.51,1.75
-0.46,0.17,0.82,3.38,0.77,1.72
-0.46,0.17,0.82,3.38,0.77,1.72
-0.46,0.16,0.82,2.98,1.09,1.61
-0.46,0.15,0.82,2.73,1.56,1.41
-0.46,0.14,0.82,2.65,2.09,1.14
-0.46,0.13,0.82,2.82,2.6,0.87
-0.46,0.13,0.81,3.36,2.99,0.64
-0.46,0.13,0.81,3.36,2.99,0.64
-0.47,0.12,0.8,4.28,3.27,0.36
-0.48,0.13,0.8,5.61,3.44,-0.05
-0.48,0.14,0.8,7.2,3.51,-0.48
-0.47,0.16,0.81,8.81,3.4,-0.82
-0.48,0.18,0.82,10.19,3.1,-1.08
-0.48,0.18,0.82,10.19,3.1,-1.08
-0.49,0.2,0.82,11.13,2.69,-1.27
-0.49,0.21,0.83,11.53,2.22,-1.48
-0.49,0.21,0.82,11.38,1.73,-1.75
-0.48,0.21,0.82,10.8,1.32,-2.08
-0.48,0.21,0.82,9.94,1.04,-2.45
-0.48,0.21,0.82,9.94,1.04,-2.45
-0.47,0.21,0.82,8.89,0.97,-2.86
-0.47,0.21,0.81,7.69,1.08,-3.31
-0.47,0.2,0.8,6.49,1.24,-3.69
-0.46,0.19,0.79,5.53,1.53,-4.01
-0.45,0.18,0.79,4.89,1.95,-4.36
-0.45,0.18,0.79,4.89,1.95,-4.36
-0.45,0.18,0.79,4.64,2.45,-4.64
-0.46,0.19,0.79,4.63,3.01,-4.79
-0.46,0.2,0.8,4.69,3.54,-4.84
-0.46,0.2,0.8,4.72,4.01,-4.76
-0.46,0.2,0.81,4.62,4.42,-4.55
-0.46,0.2,0.81,4.62,4.42,-4.55
-0.47,0.19,0.81,4.47,4.7,-4.29
-0.47,0.18,0.8,4.46,4.9,-4.04
-0.47,0.16,0.8,4.81,5.16,-3.9
-0.47,0.17,0.81,5.48,5.5,-3.77
-0.48,0.18,0.82,6.27,5.78,-3.58
-0.48,0.18,0.82,6.27,5.78,-3.58
-0.49,0.2,0.82,7.1,5.9,-3.38
-0.5,0.21,0.83,7.65,5.82,-3.13
-0.51,0.22,0.83,7.83,5.5,-2.84
-0.51,0.22,0.83,7.68,4.9,-2.61
-0.5,0.22,0.83,7.27,4.08,-2.45
-0.5,0.22,0.83,7.27,4.08,-2.45
-0.5,0.22,0.84,6.59,3.19,-2.33
-0.5,0.21,0.84,5.61,2.32,-2.35
-0.5,0.21,0.83,4.48,1.58,-2.5
-0.49,0.2,0.83,3.34,0.97,-2.66
-0.49,0.2,0.83,2.24,0.54,-2.81
-0.49,0.2,0.83,2.24,0.54,-2.81
-0.49,0.21,0.83,1.18,0.22,-2.92
-0.49,0.21,0.82,0.11,-0.08,-3.0
-0.48,0.21,0.82,-1.01,-0.39,-3.08
-0.47,0.2,0.82,-2.16,-0.75,-3.08
-0.46,0.19,0.81,-3.2,-1.15,-2.97
-0.46,0.19,0.81,-3.2,-1.15,-2.97
-0.46,0.17,0.8,-3.94,-1.51,-2.77
-0.46,0.16,0.79,-4.21,-1.82,-2.58
-0.46,0.17,0.8,-4.03,-2.02,-2.38
-0.46,0.18,0.8,-3.58,-2.17,-2.16
-0.46,0.18,0.81,-3.03,-2.25,-1.99
-0.46,0.18,0.81,-3.03,-2.25,-1.99
-0.46,0.18,0.81,-2.54,-2.22,-1.86
-0.46,0.18,0.81,-2.1,-2.14,-1.71
-0.46,0.17,0.8,-1.65,-2.0,-1.54
-0.46,0.17,0.8,-1.11,-1.71,-1.48
-0.46,0.17,0.81,-0.39,-1.38,-1.49
-0.46,0.17,0.81,-0.39,-1.38,-1.49
-0.47,0.18,0.81,0.38,-1.03,-1.56
-0.47,0.19,0.81,1.04,-0.73,-1.71
-0.47,0.2,0.81,1.52,-0.54,-1.89
-0.47,0.2,0.81,1.79,-0.37,-2.07
-0.48,0.21,0.81,1.89,-0.26,-2.25
-0.48,0.21,0.81,1.89,-0.26,-2.25
-0.48,0.21,0.8,1.9,-0.19,-2.42
-0.49,0.2,0.8,1.97,-0.23,-2.58
-0.49,0.21,0.81,2.09,-0.36,-2.71
-0.49,0.21,0.8,2.21,-0.67,-2.8
-0.49,0.21,0.8,2.31,-1.13,-2.77
-0.49,0.21,0.8,2.31,-1.13,-2.77
-0.49,0.21,0.8,2.4,-1.77,-2.66
-0.49,0.21,0.8,2.54,-2.55,-2.44
-0.49,0.22,0.79,2.66,-3.47,-2.12
-0.49,0.22,0.79,2.8,-4.47,-1.83
-0.48,0.22,0.79,2.93,-5.5,-1.54
-0.48,0.22,0.79,2.93,-5.5,-1.54
-0.48,0.23,0.79,3.03,-6.49,-1.18
-0.48,0.22,0.79,3.04,-7.35,-0.78
-0.48,0.22,0.78,3.02,-8.06,-0.42
-0.47,0.21,0.78,3.05,-8.49,-0.22
-0.46,0.21,0.78,3.12,-8.59,-0.17
-0.46,0.21,0.78,3.12,-8.59,-0.17
-0.45,0.21,0.78,3.32,-8.24,-0.24
-0.45,0.22,0.78,3.54,-7.48,-0.35
-0.46,0.22,0.79,3.7,-6.52,-0.5
-0.47,0.22,0.79,3.83,-5.46,-0.65
-0.47,0.22,0.79,3.94,-4.35,-0.85
-0.47,0.22,0.79,3.94,-4.35,-0.85
-0.47,0.23,0.79,3.99,-3.41,-1.06
-0.47,0.23,0.8,3.94,-2.67,-1.25
-0.47,0.23,0.8,3.79,-2.09,-1.42
-0.47,0.23,0.8,3.56,-1.71,-1.54
-0.47,0.22,0.81,3.23,-1.45,-1.62
-0.47,0.22,0.81,3.23,-1.45,-1.62
-0.47,0.22,0.81,2.85,-1.26,-1.71
-0.46,0.21,0.81,2.46,-1.09,-1.77
-0.46,0.21,0.81,2.05,-0.93,-1.78
-0.46,0.2,0.81,1.68,-0.71,-1.8
-0.46,0.2,0.81,1.33,-0.42,-1.83
-0.46,0.2,0.81,1.33,-0.42,-1.83
-0.46,0.2,0.81,1.02,-0.11,-1.87
-0.46,0.2,0.82,0.74,0.15,-1.94
-0.46,0.2,0.82,0.47,0.38,-2.03
-0.46,0.19,0.82,0.25,0.58,-2.12
-0.47,0.19,0.82,0.05,0.77,-2.29
-0.47,0.19,0.82,0.05,0.77,-2.29
-0.46,0.18,0.82,0.02,1.04,-2.57
-0.46,0.18,0.82,0.18,1.38,-2.88
-0.47,0.19,0.82,0.46,1.74,-3.15
-0.48,0.2,0.82,0.74,2.03,-3.39
-0.48,0.21,0.83,0.89,2.22,-3.64
-0.48,0.21,0.83,0.89,2.22,-3.64
-0.49,0.21,0.83,0.86,2.25,-3.87
-0.49,0.21,0.83,0.7,2.13,-4.11
-0.49,0.21,0.83,0.44,1.86,-4.34
-0.49,0.22,0.84,0.13,1.43,-4.52
-0.49,0.21,0.84,-0.25,0.9,-4.61
-0.49,0.21,0.84,-0.25,0.9,-4.61
-0.49,0.21,0.83,-0.71,0.29,-4.7
-0.48,0.2,0.83,-1.16,-0.32,-4.82
-0.47,0.2,0.82,-1.49,-0.83,-5.02
-0.46,0.2,0.82,-1.68,-1.16,-5.22
