ax,ay,az,gx,gy,gz
-0.01,0.0,0.99,-10.65,-7.51,-4.96
0.0,-0.02,0.99,-12.52,-8.59,-5.29
0.02,-0.05,0.99,-13.8,-9.1,-5.57
0.03,-0.07,0.98,-14.28,-8.98,-5.52
0.03,-0.08,0.98,-13.86,-8.22,-5.01
0.03,-0.08,0.98,-13.86,-8.22,-5.01
0.02,-0.08,0.98,-12.62,-6.93,-4.19
0.0,-0.08,0.98,-10.67,-5.32,-3.26
-0.01,-0.07,0.99,-8.16,-3.62,-2.33
-0.02,-0.05,1.0,-5.25,-1.94,-1.35
-0.04,-0.03,1.01,-2.25,-0.43,-0.33
-0.04,-0.03,1.01,-2.25,-0.43,-0.33
-0.05,-0.01,1.02,0.46,0.76,0.64
-0.06,0.01,1.03,2.67,1.5,1.56
-0.07,0.02,1.03,4.28,1.79,2.44
-0.08,0.03,1.03,5.25,1.59,3.25
-0.08,0.03,1.03,5.59,0.92,3.89
-0.08,0.03,1.03,5.59,0.92,3.89
-0.07,0.02,1.02,5.31,-0.04,4.34
-0.06,0.02,1.03,4.5,-1.17,4.63
-0.05,0.01,1.03,3.24,-2.31,4.8
-0.03,-0.01,1.02,1.66,-3.23,4.92
-0.02,-0.02,1.02,-0.04,-3.81,5.08
-0.02,-0.02,1.02,-0.04,-3.81,5.08
-0.01,-0.04,1.01,-1.67,-3.91,5.29
-0.01,-0.06,1.0,-3.06,-3.59,5.5
-0.0,-0.07,0.99,-4.09,-2.93,5.73
-0.01,-0.09,0.99,-4.64,-2.04,6.03
-0.02,-0.09,0.98,-4.73,-0.98,6.27
-0.02,-0.09,0.98,-4.73,-0.98,6.27
-0.03,-0.09,0.98,-4.34,0.08,6.39
-0.04,-0.09,0.98,-3.59,0.92,6.4
-0.04,-0.08,0.99,-2.66,1.48,6.4
-0.03,-0.06,0.99,-1.74,1.69,6.38
-0.02,-0.05,1.0,-1.06,1.6,6.37
-0.02,-0.05,1.0,-1.06,1.6,6.37
-0.03,-0.04,1.0,-0.75,1.23,6.38
-0.03,-0.04,1.0,-0.84,0.67,6.37
-0.03,-0.04,1.0,-1.25,-0.01,6.36
-0.03,-0.04,1.0,-1.94,-0.73,6.32
-0.02,-0.06,1.0,-2.8,-1.41,6.22
-0.02,-0.06,1.0,-2.8,-1.41,6.22
-0.02,-0.07,0.99,-3.64,-1.95,6.07
-0.01,-0.08,0.99,-4.34,-2.25,5.88
-0.01,-0.1,0.99,-4.78,-2.3,5.69
-0.01,-0.1,0.98,-4.96,-2.09,5.46
-0.01,-0.11,0.98,-4.74,-1.65,5.18
-0.01,-0.11,0.98,-4.74,-1.65,5.18
-0.01,-0.11,0.98,-4.12,-1.05,4.88
-0.02,-0.1,0.98,-3.12,-0.36,4.56
-0.03,-0.08,0.98,-1.86,0.39,4.2
-0.03,-0.07,0.98,-0.48,1.05,3.77
-0.03,-0.05,0.99,0.76,1.5,3.3
-0.03,-0.05,0.99,0.76,1.5,3.3
-0.03,-0.04,1.0,1.67,1.73,2.86
-0.03,-0.03,0.99,2.17,1.76,2.5
-0.03,-0.02,1.0,2.24,1.56,2.25
-0.02,-0.02,1.0,1.96,1.23,2.09
-0.02,-0.03,1.0,1.43,0.79,2.05
-0.02,-0.03,1.0,1.43,0.79,2.05
-0.01,-0.04,1.0,0.74,0.28,2.12
-0.01,-0.05,0.99,-0.0,-0.21,2.23
-0.01,-0.06,0.99,-0.66,-0.64,2.36
-0.01,-0.08,0.98,-1.12,-0.94,2.48
-0.0,-0.09,0.98,-1.27,-1.11,2.59
-0.0,-0.09,0.98,-1.27,-1.11,2.59
-0.01,-0.09,0.98,-1.1,-1.16,2.7
-0.01,-0.1,0.97,-0.61,-1.11,2.79
-0.01,-0.1,0.97,0.13,-1.01,2.85
-0.01,-0.1,0.97,1.02,-0.8,2.87
-0.0,-0.1,0.98,1.93,-0.49,2.9
-0.0,-0.1,0.98,1.93,-0.49,2.9
-0.01,-0.1,0.99,2.76,-0.07,3.0
-0.01,-0.11,1.0,3.39,0.41,3.15
-0.02,-0.12,1.01,3.78,0.92,3.33
-0.03,-0.14,1.01,3.87,1.38,3.42
-0.05,-0.15,1.01,3.64,1.74,3.32
-0.05,-0.15,1.01,3.64,1.74,3.32
-0.05,-0.17,1.02,3.17,1.91,2.95
-0.05,-0.18,1.02,2.48,1.89,2.34
-0.04,-0.19,1.02,1.65,1.68,1.55
-0.03,-0.21,1.01,0.67,1.31,0.62
-0.02,-0.23,1.01,-0.47,0.85,-0.43
-0.02,-0.23,1.01,-0.47,0.85,-0.43
-0.0,-0.25,1.0,-1.76,0.35,-1.58
0.01,-0.27,1.0,-3.14,-0.17,-2.78
0.02,-0.3,1.0,-4.5,-0.68,-4.1
0.03,-0.33,0.99,-5.78,-1.16,-5.61
